CED_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
CED126,939,9,7,19,952,137,0,1090,8496,1324,361,31,10217,154,26,174,10392,573,11,10980,9769,1878,292,42,11985,121,21,136,12121,422,3,12546,1757,358,297,23,2434,26,3,28,2458,92,6,2562,79,14,10,78,177,0,0,0,177,16,18,209,20094,3575,958,178,24806,293,47,341,25146,1107,43,26302,146,12,0,0,162,28,0,28,186,11,0,198,230,33,9,0,264,12,5,11,278,8,0,289,376,42,9,5,425,36,5,35,466,23,0,486,20471,3620,964,184,25231,330,54,379,25611,1129,43,26781,3489,630,170,50,4341,67,10,75,4415,546,12,4981,35,5,0,22,60,0,0,0,60,3,50,116,23989,4252,1136,256,29635,392,66,453,30090,1682,107,31875
CED127,518,3,0,11,526,74,3,608,5991,922,409,37,7369,64,18,86,7451,464,0,7920,7111,1701,425,59,9295,59,21,77,9370,414,13,9800,1632,382,416,30,2469,10,8,19,2485,105,12,2600,89,12,8,105,212,7,0,7,212,5,19,240,14822,3025,1261,233,19335,142,44,180,19518,994,46,20557,73,18,7,0,102,12,0,12,118,0,0,113,134,41,18,0,190,3,0,3,197,11,0,205,214,58,24,0,294,19,0,19,307,20,0,324,15037,3075,1280,238,19630,151,44,202,19827,1011,46,20883,3155,679,253,93,4179,85,15,105,4280,696,5,4979,21,12,3,30,59,4,0,4,60,6,54,129,18207,3761,1534,361,23866,243,64,306,24173,1708,104,25985
CED128,816,44,18,67,886,579,10,1469,4974,628,566,50,6221,100,20,125,6346,708,15,7065,4010,1126,669,57,5857,80,29,107,5968,843,15,6826,984,268,783,11,2042,24,3,26,2069,257,4,2332,63,20,22,125,235,6,0,8,237,55,43,340,10035,2042,2040,240,14358,213,54,266,14629,1864,74,16563,139,48,16,7,206,79,8,87,294,55,0,346,175,59,31,16,278,76,61,133,408,53,0,463,314,106,41,23,481,155,68,222,704,112,0,813,10349,2141,2086,265,14844,367,124,486,15332,1974,74,17377,4355,1766,1416,323,7852,524,296,817,8667,9091,100,17861,20,11,12,103,140,0,0,0,138,71,237,448,14719,3910,3515,680,22832,886,417,1306,24140,11134,413,35683
CED129,1654,54,13,61,1715,223,6,1948,15251,1527,683,70,17532,345,43,385,17918,781,25,18726,10518,2110,549,72,13248,160,20,184,13432,544,22,13998,2373,488,518,27,3406,39,6,40,3450,137,7,3589,128,28,11,169,338,0,0,5,345,6,38,390,28274,4157,1761,337,34526,544,71,615,35140,1469,88,36705,412,53,14,0,484,67,0,71,553,21,0,577,429,81,21,8,535,37,11,49,590,31,0,616,848,133,30,9,1019,105,13,120,1143,52,0,1194,29116,4291,1794,350,35546,649,87,736,36283,1531,88,37895,6024,983,470,143,7621,175,20,198,7818,1443,15,9272,44,11,5,86,142,0,0,0,142,6,103,256,35185,5278,2268,580,43314,826,109,932,44244,2975,209,47427
CED130,133,3,0,3,140,30,0,167,6733,653,129,36,7545,50,32,79,7628,329,8,7968,6816,865,120,89,7893,70,20,84,7979,342,8,8330,770,119,116,3,1012,8,3,16,1030,31,0,1056,110,11,10,95,226,4,0,4,228,12,11,254,14424,1655,369,228,16681,134,51,180,16868,704,34,17605,115,24,6,0,146,37,7,47,195,26,0,217,177,33,4,6,221,11,12,18,238,18,0,253,292,54,11,8,367,48,18,63,430,38,0,473,14722,1711,378,236,17049,177,70,249,17299,748,38,18084,2580,507,78,94,3259,136,60,205,3459,1014,11,4477,19,7,0,13,42,0,6,6,46,7,71,127,17325,2224,455,347,20348,318,135,455,20800,1767,118,22684
CED131,528,10,3,9,535,59,0,599,6342,913,164,26,7446,90,32,126,7571,426,7,8007,9151,1440,187,61,10830,98,24,125,10953,307,11,11271,1138,222,202,3,1564,20,4,19,1584,44,0,1626,62,6,9,38,113,3,0,3,117,5,12,133,16693,2578,558,127,19954,205,63,273,20224,781,32,21035,107,29,0,0,138,18,0,18,157,0,0,163,179,46,9,0,231,14,12,21,257,8,0,264,287,73,8,0,374,35,12,45,415,8,0,426,16979,2650,566,127,20321,244,69,312,20635,789,29,21460,2447,511,110,55,3121,100,64,166,3286,586,13,3889,25,8,3,17,59,0,0,0,59,8,30,96,19452,3175,678,196,23506,342,135,477,23983,1384,77,25442
CED132,955,24,11,39,990,146,0,1133,9899,966,229,41,11142,223,36,255,11397,619,22,12036,7197,1236,147,7,8586,116,12,125,8718,308,7,9031,1547,221,237,11,2013,18,3,23,2039,43,0,2082,86,17,8,52,160,0,0,0,161,8,25,187,18729,2441,624,115,21907,353,48,404,22312,975,49,23335,296,14,11,0,323,25,5,32,351,14,0,370,253,34,6,0,288,13,3,22,308,19,0,325,545,47,15,3,614,40,11,49,665,33,0,700,19271,2485,637,122,22517,395,62,458,22976,1007,49,24033,4317,649,144,62,5177,98,25,118,5297,651,3,5954,36,0,0,25,64,3,0,3,64,0,51,118,23629,3137,780,213,27757,499,83,581,28343,1661,108,30110
CED133,138,0,0,0,144,27,0,175,5435,866,119,52,6474,65,9,81,6553,435,13,6997,6963,1523,172,86,8754,49,31,79,8833,493,21,9351,671,164,115,10,962,4,0,4,964,58,11,1033,66,17,3,118,202,6,0,7,209,27,12,247,13134,2576,411,269,16387,122,44,168,16554,1014,58,17626,84,17,3,7,107,16,4,18,127,27,0,152,148,23,0,3,181,25,18,39,221,12,0,238,231,46,0,10,287,31,22,57,347,41,0,384,13362,2619,418,281,16675,156,71,227,16898,1051,55,18008,2485,648,148,135,3419,103,52,155,3574,844,15,4437,31,7,0,12,47,0,0,0,50,7,101,156,15872,3274,563,425,20140,260,120,385,20523,1903,171,22596
CED134,118,0,0,0,118,6,0,124,6566,538,131,57,7297,50,26,75,7369,255,0,7630,7013,685,142,75,7907,49,5,55,7962,251,9,8215,960,112,134,6,1213,5,0,8,1220,24,0,1247,140,3,9,125,277,5,0,5,277,6,23,310,14679,1335,416,266,16689,104,36,142,16832,529,37,17397,73,16,11,7,96,22,3,20,124,3,4,130,152,24,0,0,179,9,18,26,213,28,0,233,224,43,13,7,281,30,25,51,331,32,4,361,14900,1375,425,273,16970,138,54,188,17161,561,43,17764,2546,332,99,142,3124,103,44,143,3273,757,18,4041,15,4,0,21,43,0,0,0,43,13,88,143,17462,1710,528,429,20134,239,97,339,20472,1329,143,21953
CED135,982,22,15,33,1014,328,8,1350,8454,1044,530,38,10068,233,46,276,10337,814,20,11169,5088,1585,534,51,7254,142,36,177,7431,754,19,8201,1385,354,663,36,2442,36,7,42,2481,172,0,2655,95,17,15,218,345,0,0,4,349,20,41,409,15020,2999,1744,339,20102,406,90,498,20596,1758,77,22431,724,81,35,21,852,101,16,114,967,33,6,1003,436,106,37,10,593,82,12,101,688,87,0,773,1158,188,72,24,1446,182,25,209,1656,121,6,1779,16177,3189,1817,360,21546,586,118,703,22255,1882,78,24209,5992,1658,1053,232,8926,400,136,542,9472,4266,45,13779,75,22,9,125,226,0,0,0,226,38,234,499,22239,4869,2873,717,30701,992,255,1243,31947,6181,355,38482
CED136,388,11,0,8,405,53,0,454,6398,811,215,52,7485,101,13,112,7598,409,15,8027,9028,1243,231,69,10564,101,36,131,10702,447,15,11160,1220,212,220,24,1683,26,8,40,1717,77,3,1796,81,19,0,83,182,0,0,0,182,7,28,213,16738,2284,661,231,19909,229,52,283,20195,942,61,21196,154,16,7,0,184,30,3,33,214,15,0,221,318,21,5,12,356,13,0,15,375,28,0,399,470,36,15,16,535,43,9,49,589,40,0,629,17206,2323,677,242,20447,273,64,333,20785,983,61,21824,3698,685,209,109,4700,155,37,188,4885,859,19,5763,40,10,0,23,71,5,0,5,72,6,77,152,20933,3018,891,372,25220,428,97,524,25747,1844,155,27740
CED137,1078,35,10,44,1122,249,3,1381,8071,990,349,50,9465,204,29,240,9706,699,13,10415,5966,1829,375,42,8212,149,34,186,8394,484,6,8883,1416,364,517,24,2312,26,6,29,2339,138,8,2484,91,21,14,132,265,7,0,7,279,25,25,327,15545,3205,1258,247,20254,392,68,456,20715,1349,49,22110,249,53,19,7,328,53,3,54,381,25,0,411,289,57,34,3,379,48,24,72,449,35,0,491,536,104,54,10,709,103,25,125,839,62,0,903,16080,3313,1310,259,20961,490,95,586,21547,1414,49,23007,4255,1070,569,123,6015,174,47,224,6246,1854,30,8137,35,21,10,55,119,6,0,6,123,6,116,254,20369,4402,1887,434,27101,672,147,817,27917,3282,201,31391
CED138,240,7,5,5,247,29,0,271,4698,972,162,29,5866,76,22,95,5958,356,14,6335,7385,2018,227,71,9702,66,44,112,9816,474,31,10315,800,236,163,19,1218,6,9,17,1236,73,0,1313,101,12,4,82,205,0,3,6,212,25,29,268,12989,3241,553,208,16995,153,74,227,17219,931,79,18226,46,34,0,0,82,15,0,15,91,22,4,121,196,43,7,0,246,11,13,33,272,26,0,301,242,78,8,0,326,28,13,45,364,50,4,414,13230,3318,565,209,17318,179,93,269,17588,977,80,18648,2462,682,125,89,3363,78,32,115,3476,624,10,4107,32,6,7,19,57,0,0,0,60,11,90,159,15721,4007,690,314,20740,255,131,384,21121,1611,178,22912
CED139,185,4,0,4,185,40,0,224,7322,699,87,40,8153,52,22,73,8227,282,3,8511,8542,855,141,69,9607,48,24,68,9680,295,17,9984,1035,93,141,19,1285,6,6,13,1299,36,0,1335,111,11,6,136,256,0,0,0,255,14,20,285,17003,1657,376,266,19305,113,44,160,19464,619,36,20123,87,10,3,0,99,27,0,27,129,10,0,140,141,27,12,6,184,23,8,32,214,15,0,227,226,33,11,7,280,51,8,61,344,28,0,364,17230,1696,389,272,19583,168,57,223,19810,645,36,20486,2991,507,94,134,3724,134,51,179,3909,1039,21,4968,21,11,7,20,55,0,0,0,55,6,79,142,20241,2206,490,430,23368,298,109,402,23767,1690,140,25596
CED140,499,8,0,8,507,77,0,586,5070,898,270,40,6275,76,22,96,6373,448,9,6820,7150,1629,390,70,9241,90,17,106,9352,419,16,9790,1477,362,336,16,2197,10,6,15,2218,101,0,2319,82,17,3,79,180,0,0,6,185,10,14,210,13772,2902,1007,207,17894,183,48,228,18120,978,40,19138,80,28,0,4,117,13,10,19,136,8,0,147,176,51,10,4,237,9,7,17,251,18,0,267,257,75,13,9,357,21,14,35,391,23,0,416,14031,2976,1021,214,18248,202,59,264,18508,1006,40,19557,2945,647,226,66,3883,69,21,87,3973,622,17,4609,18,7,0,21,49,0,0,0,49,5,55,108,16997,3632,1249,300,22175,268,81,351,22531,1631,112,24273
CED141,488,6,0,6,493,64,0,565,5557,752,180,45,6529,70,23,90,6623,391,15,7026,8818,1306,298,48,10471,90,22,112,10577,377,23,10978,1229,197,220,15,1659,8,10,21,1676,82,0,1758,85,3,3,72,167,0,0,0,166,11,23,200,15686,2258,702,175,18827,165,51,218,19047,867,55,19962,57,11,3,0,78,12,0,15,87,14,0,100,199,34,11,4,245,17,0,17,261,19,0,282,252,46,18,4,319,32,0,28,350,31,0,379,15942,2304,717,180,19144,196,56,253,19395,891,55,20343,2362,401,173,74,3017,80,17,102,3115,600,6,3721,11,0,0,13,27,0,0,0,27,12,41,84,18318,2711,888,272,22187,282,73,355,22538,1503,106,24149
CED142,251,7,0,7,258,56,0,307,3861,590,138,12,4597,86,20,104,4703,321,8,5035,2671,721,110,5,3503,59,8,66,3569,185,5,3759,968,186,203,8,1364,20,6,27,1391,49,3,1442,24,16,6,30,79,0,0,3,82,5,0,89,7522,1510,451,55,9538,162,40,197,9742,569,16,10326,127,12,15,0,150,15,0,25,175,7,0,183,104,25,4,3,143,3,4,9,151,8,5,162,227,39,19,3,290,28,7,30,319,17,5,340,7756,1549,469,62,9834,189,42,230,10064,587,19,10668,1601,453,117,34,2213,62,27,88,2303,680,0,2987,19,6,4,12,41,0,0,0,41,7,42,82,9370,2015,599,108,12087,247,74,318,12406,1272,63,13736
CED143,938,25,0,25,965,113,0,1081,8876,1011,216,26,10132,177,32,210,10340,581,10,10931,8216,1310,178,35,9734,114,18,130,9865,297,5,10163,1602,211,183,5,2002,16,8,24,2031,69,6,2099,77,7,8,82,181,7,0,7,184,10,20,210,18779,2535,588,145,22052,314,57,370,22422,948,38,23408,172,12,0,8,188,20,0,20,207,15,0,228,223,31,15,0,275,11,0,12,286,19,0,310,391,49,15,8,458,34,0,35,495,38,0,533,19168,2586,600,154,22509,347,58,401,22916,983,38,23935,4719,650,118,61,5551,88,8,95,5648,513,0,6165,33,9,0,22,64,0,0,0,64,0,51,118,23923,3247,721,237,28123,431,70,500,28623,1502,92,30215
CED144,994,45,13,57,1050,519,13,1575,4292,727,591,38,5660,150,45,195,5850,815,17,6682,3870,1520,635,64,6090,132,41,175,6262,911,5,7181,1003,410,833,18,2268,39,8,50,2316,255,5,2578,45,16,23,99,182,5,0,5,187,68,31,288,9212,2681,2084,224,14200,327,94,421,14621,2047,64,16728,138,45,34,7,232,71,3,73,306,93,0,400,237,91,63,11,394,105,46,155,547,104,4,649,376,132,97,23,626,179,53,229,854,193,4,1054,9582,2818,2182,246,14830,501,143,644,15470,2237,69,17783,4806,2487,1669,374,9344,764,189,958,10303,6899,94,17292,37,19,19,90,168,0,0,0,169,37,222,429,14426,5328,3870,712,24342,1268,340,1607,25943,9177,384,35506
CED145,750,12,0,14,766,99,0,863,6409,780,124,39,7350,94,17,113,7467,436,8,7911,5880,1064,100,24,7072,76,7,87,7155,267,13,7437,1130,210,183,16,1539,10,0,11,1549,51,6,1606,87,11,4,94,196,0,0,0,196,12,16,222,13504,2072,410,166,16159,185,26,211,16368,764,45,17176,114,31,0,0,146,26,0,26,168,3,0,169,200,21,0,0,231,10,0,9,237,9,0,245,315,52,3,0,372,31,0,33,403,11,0,410,13822,2125,414,172,16532,216,27,243,16773,774,45,17589,3716,574,77,100,4460,73,10,83,4548,527,3,5076,34,9,0,36,77,0,0,0,77,4,49,127,17570,2702,493,308,21072,288,38,325,21394,1301,97,22794
CED146,1333,44,15,60,1397,545,14,1955,7471,1101,854,64,9489,244,20,261,9750,1099,13,10863,5466,1697,923,81,8166,146,46,191,8354,1181,19,9552,1459,390,886,43,2770,26,8,33,2812,306,6,3126,103,26,33,177,332,5,4,9,341,49,34,424,14493,3217,2693,360,20764,420,71,488,21257,2638,74,23965,278,71,47,7,404,89,7,101,500,72,5,575,352,102,67,17,531,102,50,154,689,117,6,808,634,167,114,19,939,191,59,251,1189,186,10,1387,15128,3386,2808,379,21697,611,128,742,22443,2824,80,25347,5815,2595,1627,348,10385,698,195,897,11279,7979,96,19360,49,12,21,116,197,0,0,0,199,39,245,487,20988,5992,4456,847,32283,1313,328,1639,33925,10843,424,45194
CED147,444,11,3,10,456,69,0,526,5883,937,324,44,7188,81,27,109,7298,363,9,7662,8365,1567,464,68,10460,67,16,87,10544,395,14,10955,1806,307,355,33,2498,16,0,16,2508,116,0,2631,98,21,0,106,225,3,0,8,231,20,24,274,16146,2830,1142,248,20372,174,43,214,20583,889,50,21524,86,12,11,3,118,20,0,20,132,10,0,144,218,47,14,8,286,23,0,25,310,21,0,325,309,62,26,11,405,38,0,36,447,25,0,472,16455,2893,1169,257,20770,207,44,255,21027,917,50,21990,3292,795,327,132,4548,123,39,163,4713,982,23,5720,19,11,9,17,50,0,0,0,52,6,80,140,19763,3692,1504,409,25376,339,82,423,25795,1908,152,27855
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,1188,27,0,28,1220,133,0,1355,7531,901,112,21,8567,106,35,138,8709,352,15,9070,10108,1445,162,56,11766,110,40,151,11922,352,5,12274,1187,152,174,9,1524,9,8,17,1540,56,0,1595,95,17,3,129,245,0,0,0,247,14,19,279,18919,2521,450,212,22107,222,83,309,22416,769,37,23224,205,28,0,0,233,17,0,17,244,6,0,251,322,53,8,3,392,23,8,30,420,12,3,441,528,82,13,3,623,32,8,42,667,22,3,689,19447,2601,463,219,22730,258,95,350,23081,796,42,23916,4146,668,131,73,5023,77,14,88,5114,688,3,5805,37,6,0,45,84,0,0,0,82,3,50,143,23629,3272,592,337,27838,334,104,438,28278,1484,98,29858
CED202,323,0,3,3,323,34,0,355,5199,748,96,28,6069,57,27,81,6153,331,9,6492,9181,1288,167,60,10695,70,43,113,10809,345,8,11161,1139,138,120,22,1420,11,0,16,1431,50,4,1488,94,8,0,77,173,4,0,4,179,9,17,205,15614,2178,379,189,18358,141,73,211,18572,733,37,19348,93,14,0,5,112,22,4,25,135,16,0,150,203,44,0,5,256,10,3,21,275,13,0,291,294,57,0,6,369,35,8,45,414,26,0,436,15911,2235,384,196,18726,180,77,260,18986,762,37,19788,3293,559,116,81,4053,99,16,113,4167,606,15,4785,11,5,0,16,27,0,5,5,32,4,62,101,19218,2792,500,291,22806,279,99,374,23185,1372,114,24668
CED203,342,5,3,5,345,45,0,398,5067,742,140,29,5977,54,28,74,6056,354,5,6415,8629,1438,212,73,10356,64,16,87,10444,349,10,10805,1046,172,164,16,1393,15,0,20,1410,50,0,1459,82,5,5,103,198,0,0,9,207,31,7,244,14827,2366,515,222,17929,138,44,190,18116,782,21,18926,67,12,0,0,82,19,0,19,101,7,0,106,182,39,9,3,231,16,0,16,249,12,0,260,249,55,9,3,313,33,0,33,349,19,0,362,15079,2420,528,227,18250,165,44,219,18465,800,21,19286,3020,527,153,65,3764,72,18,87,3847,658,0,4508,24,3,11,9,45,0,0,0,45,9,68,121,18124,2949,687,302,22057,235,66,303,22359,1470,94,23917
CED204,1310,66,10,78,1390,267,13,1669,6914,958,153,37,8064,165,39,210,8271,519,12,8806,8184,1645,167,76,10076,144,61,203,10281,508,24,10814,949,122,116,17,1205,9,0,9,1213,52,4,1269,101,21,0,175,296,10,7,15,311,19,17,345,16150,2751,431,305,19637,330,107,436,20068,1100,55,21227,252,45,9,3,307,76,6,79,388,46,3,439,440,128,8,20,595,45,38,88,681,51,0,737,701,171,19,22,904,122,46,164,1069,105,3,1173,16850,2919,446,326,20541,452,150,601,21139,1200,57,22398,6811,2007,253,287,9365,521,83,605,9971,2561,96,12625,52,21,0,86,158,5,0,5,157,16,180,360,23711,4948,700,697,30059,981,228,1207,31269,3781,330,35379
CED205,1075,50,31,83,1158,512,10,1683,6666,1058,108,50,7882,217,66,282,8161,682,21,8865,7829,1907,186,101,10025,242,84,326,10348,659,29,11044,1052,223,115,17,1398,32,5,39,1437,74,6,1519,155,41,4,223,419,16,0,16,437,49,53,535,15689,3224,417,391,19719,515,152,665,20385,1471,108,21962,386,130,5,24,542,118,20,133,678,63,0,745,640,243,11,30,926,121,85,208,1130,154,9,1291,1028,372,15,50,1466,238,102,340,1803,219,9,2034,16713,3590,436,444,21187,747,252,998,22194,1686,119,23995,8182,3977,366,538,13074,795,338,1130,14197,6511,101,20803,82,54,4,163,300,3,0,3,303,47,245,592,24984,7623,807,1148,34559,1541,585,2131,36696,8242,463,45403
CED206,696,10,0,10,702,72,3,775,6174,840,142,22,7183,64,27,89,7276,312,12,7591,11693,1440,246,57,13442,70,22,94,13531,339,10,13877,1460,183,209,18,1872,3,0,4,1873,67,3,1946,143,7,0,127,284,5,0,5,287,16,25,336,19477,2469,603,223,22777,139,48,187,22969,732,49,23751,89,8,7,0,106,8,0,8,114,3,0,115,301,48,4,6,357,10,7,14,375,11,0,382,392,60,7,6,467,15,7,22,488,11,0,502,19866,2528,614,228,23238,156,56,216,23458,745,49,24250,4175,520,146,77,4923,80,16,90,5018,469,16,5501,33,7,0,34,73,0,0,0,73,0,76,156,24078,3050,766,344,28240,239,67,312,28551,1213,134,29905
CED207,1537,32,8,42,1576,251,0,1830,10035,1158,157,46,11393,246,37,285,11686,552,21,12255,8916,1751,150,32,10848,105,32,133,10992,470,9,11467,981,113,129,5,1224,5,3,11,1236,73,0,1312,70,7,0,94,167,6,3,6,175,22,30,230,20010,3025,441,168,23640,362,83,442,24081,1120,56,25263,330,50,4,0,387,44,6,49,441,33,0,473,404,66,7,12,489,29,21,49,542,26,0,569,736,118,9,11,875,77,27,102,980,61,0,1044,20745,3150,452,176,24521,439,109,546,25066,1186,62,26310,4193,870,125,68,5261,114,39,161,5419,947,28,6396,44,5,0,50,103,0,0,0,101,10,65,178,24982,4027,576,298,29880,555,149,707,30585,2141,151,32878
CED208,726,19,5,22,749,131,3,892,5829,950,105,30,6915,118,26,151,7062,396,4,7466,7659,1502,155,44,9359,104,26,135,9496,275,13,9785,1081,163,136,8,1386,7,6,11,1402,53,0,1455,40,19,0,57,121,0,0,0,121,5,9,135,14605,2638,398,135,17782,230,60,295,18076,733,28,18837,121,34,5,6,168,29,0,31,202,19,0,220,274,62,7,6,346,32,6,38,387,13,0,400,400,96,8,13,513,59,9,69,585,33,0,619,15004,2735,404,154,18296,297,66,363,18660,767,28,19462,2906,737,137,72,3853,103,36,141,3996,827,10,4833,19,0,0,28,43,4,0,4,50,5,45,105,17923,3471,544,250,22194,406,108,511,22709,1604,89,24398
CED209,470,3,0,9,476,32,0,513,5914,902,131,25,6977,66,22,82,7061,374,17,7458,11360,1579,245,64,13249,85,36,115,13371,284,6,13658,1382,236,220,7,1843,8,0,9,1854,34,0,1887,113,20,4,109,244,0,0,5,250,4,13,266,18776,2736,599,211,22321,153,59,214,22527,698,41,23270,87,20,7,0,119,8,0,8,120,0,0,124,296,46,0,3,352,7,0,10,362,3,0,367,386,69,7,3,462,15,0,18,481,8,0,490,19155,2808,606,215,22781,171,59,232,23015,708,39,23758,3209,468,127,95,3897,49,4,52,3951,352,4,4313,16,0,0,8,22,0,0,0,22,4,42,68,22386,3270,737,313,26701,216,66,285,26987,1062,92,28135
