region_id,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_estat_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_estat_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_estat_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_over_LT_Real_eSte_agent,R_650_over_LT_Ste_ter_hsg_aut,R_650_over_LT_Psn_not_Sme_hhd,R_650_ovr_LT_hs_coop_com_ch_g,R_650_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_650_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
CED204,16,197,308,40,58,236,855,21,596,81,61,36,3,798,447,495,530,55,108,6,1641,1398,445,869,118,111,14,2955,966,37,551,47,30,7,1638,1952,34,548,16,43,10,2603,1293,8,314,3,36,3,1657,380,7,82,0,7,3,479,50,3,18,0,4,0,75,12,3,3,5,0,0,23,31,13,37,0,6,3,90,112,133,133,22,38,27,465,6678,1971,3474,367,477,312,13279
CED205,41,115,249,18,13,114,550,14,396,32,14,3,3,462,97,288,185,49,48,4,671,521,180,285,26,75,15,1102,737,74,219,3,35,0,1068,1940,147,336,15,70,10,2518,2895,47,523,7,77,23,3572,1629,16,249,0,19,14,1927,469,3,79,0,4,7,562,126,0,25,0,0,3,154,174,8,50,0,11,3,246,212,91,141,13,37,21,515,8855,1365,2373,145,392,217,13347
CED206,26,128,194,4,23,99,474,0,280,10,8,4,0,302,32,354,102,27,18,0,533,163,262,209,25,63,12,734,219,132,241,11,69,3,675,978,224,461,19,84,17,1783,3027,56,789,12,156,36,4076,1112,14,185,5,21,6,1343,86,4,28,3,7,3,131,31,0,9,0,4,0,44,73,3,23,0,6,3,108,128,112,138,18,30,33,459,5875,1569,2389,132,485,212,10662
CED207,12,54,161,22,33,128,410,3,151,25,37,3,3,222,29,116,130,34,13,5,327,186,57,262,19,25,3,552,199,25,212,17,13,0,466,751,63,317,10,30,13,1184,1919,34,453,4,40,3,2453,1142,11,209,0,18,0,1380,154,3,37,0,0,0,194,40,0,16,0,0,0,56,37,7,17,0,0,3,64,96,47,99,16,19,19,296,4568,568,1938,159,194,177,7604
CED208,48,136,298,29,23,179,713,14,388,36,26,7,0,471,89,230,293,74,33,9,728,143,147,264,35,30,3,622,161,44,199,15,15,0,434,853,91,374,15,31,3,1367,2774,99,622,22,40,14,3571,3482,15,609,8,38,11,4163,1260,4,251,3,25,11,1554,365,3,81,8,9,3,469,277,10,117,3,9,3,419,189,83,227,24,28,50,601,9655,1250,3371,262,288,286,15112
CED209,22,57,308,41,105,251,784,13,212,35,23,15,0,298,208,218,373,112,87,11,1009,649,126,551,65,92,3,1486,526,23,436,23,42,5,1055,1307,54,485,8,56,14,1924,1650,10,478,14,39,10,2201,1109,3,248,6,21,3,1390,293,3,52,3,3,0,354,49,3,16,0,0,0,68,54,3,50,0,8,3,118,95,42,161,25,56,20,399,5975,754,3193,320,524,320,11086
CED210,24,244,225,33,75,156,757,20,670,29,46,15,8,788,372,592,326,132,68,14,1504,1114,392,588,132,86,20,2332,909,182,488,42,37,10,1668,2142,101,592,14,54,15,2918,1973,15,434,15,54,24,2515,755,8,155,4,11,5,938,152,3,26,0,8,0,189,31,0,4,0,0,0,35,48,14,25,0,4,3,94,143,136,136,22,50,27,514,7683,2357,3028,440,462,282,14252
CED211,28,98,198,48,19,149,540,6,362,25,20,6,3,422,51,237,165,109,28,13,603,165,150,248,70,28,7,668,236,53,195,18,18,3,523,1078,63,392,25,18,12,1588,2870,56,567,11,38,14,3556,2122,9,334,5,13,3,2486,365,0,98,3,8,0,474,75,3,19,0,0,0,97,109,7,39,0,0,3,158,119,92,124,21,22,40,418,7224,1130,2404,330,198,247,11533
CED212,22,160,163,11,20,154,530,11,523,30,20,26,3,613,89,343,231,28,27,7,725,566,182,389,12,78,9,1236,686,75,342,33,86,5,1227,2238,161,547,12,54,16,3028,3138,32,514,0,33,20,3737,1261,5,204,7,9,6,1492,269,5,55,0,4,0,333,79,3,17,0,0,0,99,142,8,40,0,4,3,197,172,96,129,23,17,24,461,8673,1593,2661,146,358,247,13678
CED213,15,66,355,9,62,285,792,12,222,46,10,20,6,316,113,138,280,22,88,11,652,616,89,454,14,86,6,1265,673,71,394,12,104,8,1262,1684,41,464,4,77,20,2290,1883,16,419,0,48,8,2374,880,3,168,3,12,7,1073,210,4,37,0,5,4,260,60,0,14,0,3,0,77,76,3,41,0,10,3,133,148,45,158,9,47,26,433,6370,698,2830,83,562,384,10927
CED214,32,246,244,26,30,170,748,12,737,38,20,13,5,825,127,503,214,57,40,10,951,709,273,379,68,93,9,1531,701,115,320,43,54,12,1245,1927,174,560,60,106,14,2841,3646,70,776,12,106,14,4624,2700,11,438,6,28,12,3195,831,6,149,3,7,6,1002,227,0,43,0,3,3,276,241,14,52,4,8,5,324,185,177,178,23,39,28,630,11338,2326,3391,322,527,288,18192
CED215,29,187,365,70,153,335,1139,68,570,116,28,39,4,825,836,556,592,91,144,24,2243,1999,391,732,108,156,21,3407,839,88,362,14,81,6,1390,1271,40,312,8,60,3,1694,885,19,133,6,17,3,1063,263,4,31,0,5,4,307,28,0,13,0,4,0,45,5,3,6,0,4,0,18,34,8,30,0,10,0,82,88,108,129,14,87,23,449,6345,1974,2821,339,760,423,12662
CED216,26,92,267,19,18,178,600,5,344,25,17,3,4,398,39,222,133,63,22,9,488,136,124,160,16,16,7,459,243,31,131,0,12,0,417,736,33,215,6,12,0,1002,1614,56,381,4,22,6,2083,2231,12,440,5,15,11,2714,1184,3,231,0,4,3,1425,619,3,131,0,3,0,756,1243,3,260,0,14,3,1523,165,70,120,22,12,23,412,8241,993,2494,152,153,244,12277
CED217,33,53,217,9,14,141,467,8,143,25,15,12,0,203,46,225,123,32,23,3,452,146,160,274,32,56,9,677,228,59,264,18,53,9,631,1171,113,561,27,97,20,1989,3502,44,722,7,112,31,4418,1269,7,215,0,26,3,1520,108,3,42,0,3,3,159,30,0,10,0,3,0,43,91,6,31,0,11,3,142,182,90,184,15,42,34,547,6814,903,2668,155,452,256,11248
CED218,34,125,313,33,22,202,729,16,518,28,67,13,3,645,68,305,154,109,13,16,665,241,170,247,26,20,10,714,398,28,171,6,4,3,610,1658,71,338,16,35,10,2128,3378,77,623,10,29,18,4135,4412,16,697,4,16,15,5160,2083,3,358,3,17,5,2469,1110,3,184,0,7,7,1311,1488,9,296,5,17,4,1819,246,88,167,32,26,34,593,15132,1413,3576,311,219,327,20978
CED219,16,109,169,10,15,98,417,13,324,15,9,4,0,365,20,353,131,21,9,0,534,144,199,256,21,45,11,676,281,97,268,12,28,3,689,1475,172,563,11,41,19,2281,4023,66,746,0,89,32,4956,1610,4,209,6,24,10,1863,114,3,51,0,7,0,175,18,3,13,3,0,3,40,105,5,32,0,9,0,151,187,107,152,11,34,35,526,8006,1442,2605,104,305,211,12673
CED220,27,64,217,27,18,149,502,16,278,38,11,5,3,351,51,174,169,23,25,8,450,257,95,235,24,42,12,665,376,36,170,19,30,3,634,1247,50,370,15,53,6,1741,2525,56,591,7,81,11,3271,2246,8,375,0,33,7,2669,738,0,129,0,9,0,876,245,3,37,0,5,3,293,206,4,51,0,0,0,261,160,70,159,17,28,21,455,8094,838,2541,143,329,223,12168
CED221,14,206,373,26,121,363,1103,31,571,94,42,26,8,772,539,503,604,49,102,19,1816,1567,459,754,32,103,18,2933,971,81,422,4,156,12,1646,1416,38,379,9,79,13,1934,886,23,181,0,35,11,1136,241,3,51,0,6,5,306,37,0,16,3,0,0,56,9,3,6,0,6,0,24,30,4,44,4,15,0,97,110,141,163,31,103,26,574,5851,2032,3087,200,752,475,12397
CED222,25,97,214,16,29,137,518,5,369,42,48,10,8,482,78,241,177,70,80,14,660,415,129,297,25,140,11,1017,515,60,271,8,95,12,961,1548,85,460,9,105,13,2220,3271,32,617,8,96,8,4032,1775,4,278,0,25,5,2087,556,0,85,0,7,3,651,179,3,27,0,0,0,209,187,4,44,8,13,3,259,169,76,140,16,39,24,464,8723,1100,2652,208,639,238,13560
CED223,16,154,186,20,13,125,514,4,450,26,55,10,8,553,28,352,124,64,14,13,595,86,223,180,53,45,0,587,155,85,163,13,80,4,500,769,139,268,27,50,3,1256,2387,117,460,13,35,9,3021,1904,20,268,5,16,8,2221,513,3,90,0,11,0,617,123,4,41,0,0,0,168,133,10,29,0,4,3,179,113,130,120,26,29,13,431,6231,1687,1955,276,307,186,10642
CED224,26,33,260,38,24,186,567,5,103,22,41,4,4,179,53,51,116,68,12,3,303,169,26,191,47,17,3,453,236,12,124,14,8,3,397,734,11,234,10,22,5,1016,2360,12,498,15,29,9,2923,3159,6,508,9,13,5,3700,1434,4,276,3,11,14,1742,697,0,118,5,3,0,823,1131,7,202,0,12,6,1358,184,22,129,25,26,31,417,10188,287,2678,275,181,269,13878
CED225,8,65,148,11,29,150,411,3,198,24,25,7,0,257,27,137,151,29,18,4,366,147,69,220,16,48,3,503,169,25,220,10,14,5,443,813,62,362,7,19,9,1272,2374,17,502,3,23,17,2936,1365,3,206,7,12,3,1596,168,0,36,0,0,0,204,45,0,10,0,0,0,55,55,0,20,0,5,0,80,115,31,104,14,28,16,308,5289,607,2003,122,203,207,8431
CED226,35,97,221,11,19,129,512,4,199,24,8,10,5,250,73,243,184,35,48,8,591,512,154,484,73,99,11,1333,859,79,490,43,103,13,1587,3864,125,800,22,105,20,4936,5540,20,689,4,72,22,6347,1407,3,207,0,24,3,1644,202,5,45,0,5,0,257,70,0,14,0,0,0,84,140,4,42,0,6,0,192,231,74,167,14,48,41,575,12937,1003,3367,210,539,252,18308
CED227,32,332,630,85,313,476,1868,96,487,165,52,81,8,889,1022,561,773,70,248,36,2710,2029,253,763,68,149,28,3290,834,38,334,10,59,0,1275,1026,13,224,8,48,9,1328,419,11,110,10,16,3,569,120,4,28,0,4,0,156,14,0,5,0,3,0,22,0,4,0,0,6,0,10,26,7,29,5,9,3,79,101,131,171,29,95,49,576,5719,1841,3232,337,1031,612,12772
CED228,33,77,266,10,15,182,583,12,236,21,8,10,0,287,73,163,166,63,26,13,504,553,100,324,30,53,11,1071,649,33,279,4,51,5,1021,1467,69,489,4,80,13,2122,2890,33,628,6,111,15,3683,1520,9,255,3,21,6,1814,409,0,71,3,7,0,490,139,0,32,0,3,3,177,151,4,45,0,4,3,207,163,53,178,14,30,26,464,8059,777,2754,145,411,277,12423
CED229,14,95,266,36,104,236,751,14,254,38,30,22,5,363,140,175,306,30,81,10,742,459,129,438,36,116,7,1185,358,56,305,10,157,0,886,879,49,401,13,112,9,1463,1383,13,411,3,47,15,1872,1453,5,154,0,24,4,1640,189,0,45,0,9,0,243,29,3,15,0,3,0,50,63,3,26,0,3,3,98,93,49,145,9,75,17,388,5074,831,2550,167,753,306,9681
CED230,17,163,365,43,121,300,1009,74,442,75,38,29,9,667,464,360,496,64,98,11,1493,878,232,570,60,102,20,1862,743,50,385,10,44,3,1235,1579,47,415,9,32,7,2089,1860,15,263,3,25,10,2176,427,4,67,3,6,0,507,89,3,19,0,6,4,121,31,3,5,0,0,0,39,49,10,25,0,3,3,90,140,97,183,19,66,34,539,6351,1426,2868,249,532,401,11827
CED231,89,744,440,57,56,268,1654,17,2062,22,45,17,11,2174,119,1580,234,139,40,19,2131,432,1066,321,124,25,21,1989,499,377,278,42,22,15,1233,1826,552,579,79,60,12,3108,4209,284,1147,174,134,19,5967,7894,111,1368,87,86,31,9577,5666,36,1036,40,49,22,6849,2649,7,486,11,25,5,3183,2197,38,456,8,23,8,2730,474,435,292,55,50,67,1373,26071,7292,6659,861,587,498,41968
CED232,41,219,409,38,42,311,1060,22,857,36,65,9,3,992,93,416,204,89,16,10,828,453,249,377,70,19,8,1176,673,49,258,10,11,8,1009,2182,66,537,19,22,11,2837,4425,55,869,14,34,23,5420,6784,15,1082,6,41,24,7952,4155,12,713,5,11,10,4906,2076,4,373,0,15,7,2475,2714,10,483,0,29,7,3243,407,133,233,19,45,53,890,24025,2085,5574,335,294,475,32788
CED233,13,24,221,9,12,114,393,0,60,11,17,0,3,91,15,58,59,15,4,0,151,52,19,88,3,7,3,172,57,9,84,0,4,3,157,193,9,141,3,7,3,356,1097,8,275,10,22,0,1412,1820,0,255,4,9,9,2097,736,0,113,0,3,3,855,236,0,32,0,4,3,275,168,4,41,0,9,3,225,99,13,112,12,26,5,267,4486,204,1432,73,107,149,6451
CED234,32,222,396,42,208,341,1241,43,549,105,54,68,21,840,590,549,639,87,195,27,2087,1721,391,756,79,172,22,3141,987,76,411,20,53,9,1556,1325,32,322,12,46,17,1754,719,18,164,7,22,5,935,178,6,57,0,7,3,251,23,3,14,0,0,3,43,5,3,4,0,3,0,15,26,7,28,0,3,3,67,107,123,146,21,115,41,553,5756,1979,3042,322,892,492,12483
CED235,29,58,203,8,7,113,418,4,99,11,0,0,0,114,25,135,91,12,12,6,281,97,100,176,16,13,3,405,169,41,146,7,23,3,389,914,82,327,26,62,4,1415,2925,68,477,7,80,16,3573,1029,13,133,0,21,12,1208,120,4,37,3,7,3,174,35,0,12,0,0,0,47,84,4,20,4,0,3,115,161,44,115,9,34,19,382,5592,648,1748,92,259,182,8521
CED236,24,183,515,22,312,481,1537,67,476,162,48,32,9,794,567,387,784,74,140,17,1969,1232,310,836,40,130,11,2559,653,82,411,8,46,6,1206,956,30,327,8,25,3,1349,711,10,221,6,27,8,983,341,5,81,3,5,5,440,50,0,20,0,3,3,76,10,0,6,3,3,0,22,23,10,46,0,9,0,88,71,103,159,16,122,29,500,4705,1596,3568,228,854,572,11523
CED237,43,151,277,20,23,313,827,9,437,23,24,8,5,506,83,252,173,49,21,10,588,428,162,339,21,34,8,992,713,61,270,3,21,11,1079,1718,104,492,14,39,8,2375,3827,49,838,3,86,19,4822,3548,7,556,6,36,12,4165,1081,4,209,3,17,0,1314,291,0,58,0,6,3,358,250,7,80,0,5,3,345,241,116,179,22,31,41,630,12232,1350,3494,165,327,433,18001
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,14,313,186,12,84,176,785,4,324,34,41,29,5,437,53,448,217,96,86,12,912,342,212,420,61,256,9,1300,429,84,463,35,318,13,1342,2392,97,808,34,164,16,3511,4639,29,741,26,130,38,5603,975,11,187,3,32,6,1214,96,0,34,3,5,0,138,13,3,12,0,0,0,28,46,7,20,0,10,0,83,139,114,148,15,67,32,515,9142,1642,3270,326,1181,307,15868
CED302,15,369,178,21,34,120,737,3,445,20,31,13,3,515,24,461,114,25,32,5,661,92,254,213,47,129,3,738,109,67,174,34,69,7,460,320,78,250,18,86,5,757,1370,55,669,29,93,19,2235,4031,23,1251,44,136,30,5515,1137,3,262,11,21,5,1439,373,0,105,3,10,0,491,255,12,59,0,10,0,336,109,114,111,18,39,28,419,7838,1881,3406,281,672,225,14303
CED303,26,320,128,18,24,109,625,0,321,13,31,8,3,376,17,346,118,43,24,3,551,201,218,212,125,25,9,790,194,53,205,39,36,11,538,313,62,274,18,25,6,698,1310,35,642,8,57,12,2064,3104,10,859,11,61,15,4060,1163,0,237,9,6,5,1420,227,0,58,3,3,0,291,185,0,57,4,4,4,254,86,104,93,17,29,25,354,6826,1469,2896,326,302,202,12021
CED304,32,551,237,23,47,148,1038,6,457,28,26,3,6,526,104,364,248,161,36,5,918,376,290,542,173,51,17,1449,449,57,395,30,48,9,988,1304,72,637,43,68,27,2151,3752,71,1254,24,96,32,5229,5519,23,1491,28,84,21,7166,3216,5,898,25,42,12,4198,1432,4,445,7,29,10,1927,1470,14,434,3,39,9,1969,228,129,191,26,54,50,678,17888,2037,6800,569,597,346,28237
CED305,102,327,372,55,2103,425,3384,11,373,64,47,320,7,822,143,434,328,97,238,16,1256,480,198,486,58,148,16,1386,720,57,479,30,82,9,1377,1533,85,597,29,94,11,2349,1976,41,723,24,74,23,2861,1249,14,395,6,50,10,1724,381,3,75,0,21,3,483,68,3,26,3,6,0,106,268,7,82,0,63,0,420,160,97,174,41,268,45,785,7091,1639,3801,390,3467,565,16953
CED306,13,355,308,20,244,295,1235,12,349,53,23,60,6,503,96,554,298,104,112,8,1172,470,284,436,110,177,16,1493,479,96,349,20,184,9,1137,1045,90,496,19,119,17,1786,1932,60,803,62,149,21,3027,2549,13,860,43,120,13,3598,1287,0,269,0,49,5,1610,245,3,62,0,19,0,329,125,4,77,4,20,4,234,133,152,171,27,120,44,647,8386,1960,4182,432,1373,438,16771
CED307,3,147,93,9,16,91,359,3,170,10,8,3,0,194,4,235,95,21,43,4,402,60,145,147,23,78,7,460,96,52,173,5,200,3,529,347,51,294,5,71,3,771,1968,35,755,37,86,15,2896,2538,9,517,8,37,6,3115,378,0,93,0,4,4,479,128,0,39,0,0,3,170,86,8,29,0,3,0,126,68,62,84,8,23,18,263,5679,914,2329,124,564,154,9764
CED308,18,226,178,13,51,135,621,4,239,11,6,4,3,267,21,248,105,28,60,5,467,76,157,192,53,46,8,532,142,42,192,18,26,3,423,633,47,401,13,116,14,1224,2943,33,1355,37,200,54,4622,5368,18,1329,33,119,43,6910,1723,4,346,3,22,12,2110,514,0,126,0,8,3,651,487,6,136,0,3,0,632,179,87,142,16,27,36,487,12108,1107,4513,220,682,316,18946
CED309,19,278,187,27,54,170,735,3,288,25,43,6,3,368,45,310,168,48,90,6,667,179,142,296,23,92,8,740,296,28,276,12,79,10,701,889,23,527,12,76,11,1538,2517,28,930,7,89,24,3595,3158,4,833,3,50,14,4062,891,3,225,0,10,3,1132,229,0,60,0,4,0,293,138,0,45,3,3,0,189,93,81,118,25,37,32,386,8457,1185,3690,203,590,281,14406
CED310,13,289,212,24,56,176,770,8,236,17,7,14,0,282,30,256,158,22,62,3,531,130,112,307,10,64,3,626,182,37,240,12,48,6,525,810,32,451,4,53,3,1353,2549,13,921,9,84,28,3604,3735,3,965,15,74,10,4802,827,0,219,0,13,3,1062,205,0,54,0,4,0,263,143,6,51,0,5,0,205,108,75,117,15,40,19,374,8740,1059,3712,118,517,251,14397
CED311,63,310,505,35,1587,589,3089,32,324,86,29,272,5,748,182,572,445,115,308,30,1652,486,225,528,59,196,15,1509,320,68,324,5,81,0,798,713,56,403,14,109,12,1307,1315,16,419,8,84,10,1852,1804,7,379,4,46,3,2243,762,4,123,0,32,3,924,271,0,50,0,14,3,338,187,3,70,0,26,3,289,211,95,196,16,335,41,894,6346,1680,3528,285,3090,714,15643
CED312,26,293,127,3,20,104,573,7,313,7,3,5,0,335,30,462,83,10,72,6,663,88,238,145,15,97,0,583,174,95,192,17,55,6,539,889,71,370,14,53,12,1409,3156,54,1027,26,138,34,4435,4716,9,786,17,75,29,5632,569,0,133,0,10,0,712,131,5,24,0,0,0,160,84,6,32,0,5,4,131,152,118,92,12,35,30,439,10022,1664,3018,117,565,225,15611
CED313,36,900,213,16,25,155,1345,4,859,33,30,5,0,931,125,610,180,48,12,5,980,313,282,419,57,33,12,1116,358,85,339,23,13,4,822,1218,64,622,16,32,15,1967,3437,78,1250,21,84,28,4898,5637,19,1465,26,70,33,7250,2511,4,667,10,36,6,3234,961,5,301,9,14,3,1293,958,11,321,7,18,3,1318,163,171,169,20,36,45,604,15721,3088,5979,283,378,309,25758
CED314,13,315,234,35,120,201,918,15,293,45,24,25,0,402,277,372,448,74,78,21,1270,1514,179,749,67,116,16,2641,1022,49,572,13,107,13,1776,2633,47,796,14,110,13,3613,2523,21,500,29,55,17,3145,952,3,171,9,14,7,1156,110,0,35,0,4,0,149,26,0,8,0,0,0,34,38,11,29,3,0,0,81,139,102,125,32,66,36,500,9262,1392,3712,300,695,324,15685
CED315,31,506,200,30,80,166,1013,11,550,22,48,30,10,671,94,853,225,99,73,8,1352,511,436,400,47,305,6,1705,699,161,405,10,563,12,1850,1872,115,668,25,225,13,2918,3787,86,1084,38,126,20,5141,3700,14,653,10,96,16,4489,547,0,127,3,16,0,693,114,6,32,3,5,0,160,89,14,46,0,3,0,152,159,193,132,23,100,30,637,11614,2934,3994,336,1622,281,20781
CED316,14,304,223,26,94,211,872,12,353,48,29,30,11,483,141,525,299,75,114,17,1171,892,263,701,40,257,24,2177,929,82,613,14,68,13,1719,3288,47,1064,23,127,31,4580,3071,15,657,32,74,16,3865,433,0,96,7,13,11,560,51,4,27,5,3,3,93,9,0,8,0,3,0,20,31,5,29,4,10,0,79,142,103,134,17,72,43,511,9013,1701,3899,272,865,380,16130
CED317,23,538,584,59,1027,759,2990,29,468,110,60,140,11,818,286,937,646,205,284,37,2395,969,406,919,168,278,40,2780,706,98,611,39,149,8,1611,1388,78,681,21,120,15,2303,1449,35,593,7,93,15,2192,577,9,298,5,44,5,938,244,3,124,0,23,0,394,88,3,36,0,13,0,140,36,9,46,0,11,0,102,137,164,225,19,240,52,837,5932,2748,4873,583,2422,942,17500
CED318,33,1158,229,592,722,312,3046,10,795,47,198,71,16,1137,271,941,295,295,134,20,1956,1633,482,702,129,193,36,3175,1313,131,602,48,184,4,2282,2288,123,882,48,192,26,3559,3713,77,1133,40,188,42,5193,2288,15,570,12,88,9,2982,456,10,140,3,39,3,651,165,6,51,3,11,0,236,121,5,48,3,28,3,208,185,213,171,59,144,51,823,12476,3956,4870,1430,1994,522,25248
CED319,28,660,177,31,21,130,1047,11,697,18,14,0,7,747,72,658,151,74,30,5,990,229,356,305,54,71,8,1023,266,95,337,25,88,3,814,720,104,466,37,76,8,1411,3208,73,1097,18,106,23,4525,4702,31,1101,15,104,32,5985,898,0,177,0,12,3,1090,184,4,45,0,3,0,236,149,19,38,0,4,0,210,155,173,135,19,32,42,556,10622,2870,4047,287,547,261,18634
CED320,8,250,139,13,40,138,588,5,246,27,15,5,3,301,43,369,146,18,75,13,664,200,185,265,49,83,23,805,378,45,320,24,63,14,844,1645,58,550,19,61,14,2347,5175,24,854,15,67,33,6168,2240,0,294,5,22,9,2570,273,0,81,0,3,0,357,58,0,14,3,3,0,78,55,3,26,0,5,0,89,166,99,109,27,35,39,475,10246,1279,2825,188,462,286,15286
CED321,35,364,634,29,1240,928,3230,37,314,109,34,162,7,663,457,527,857,169,340,44,2394,1405,162,988,71,176,32,2834,948,43,566,11,109,18,1695,1678,34,555,4,83,12,2366,1238,3,308,4,43,0,1596,482,0,85,0,18,3,588,87,0,25,0,9,0,121,17,3,12,0,4,0,36,26,5,42,0,13,0,86,123,86,225,19,340,50,843,6533,1541,4406,341,2537,1094,16452
CED322,25,260,192,7,30,165,679,3,253,8,3,3,3,273,26,253,123,20,24,5,451,149,152,225,21,36,4,587,202,31,224,10,18,12,497,886,36,435,3,17,8,1385,2210,22,1218,18,139,33,3640,4451,13,1612,41,185,35,6337,1799,3,462,7,43,9,2323,478,3,122,3,7,4,617,304,0,100,3,6,6,419,146,57,147,11,22,36,419,10679,1083,4868,147,530,320,17627
CED323,32,283,239,28,52,188,822,4,330,16,22,10,3,385,45,325,153,42,30,3,598,234,171,302,42,125,10,884,348,50,297,22,78,5,800,1371,79,675,37,137,28,2327,4147,47,1612,45,208,51,6110,4625,29,1582,37,191,59,6523,1688,5,558,13,39,26,2329,675,0,224,0,12,3,914,617,11,200,3,31,3,865,207,85,211,34,55,64,656,13993,1415,6069,325,968,443,23213
CED324,27,392,228,16,20,142,825,15,424,20,20,5,3,487,68,392,196,42,60,6,764,158,221,302,65,72,7,825,190,58,264,29,34,6,581,556,55,446,31,33,9,1130,2156,43,998,33,89,25,3344,4346,35,1345,70,179,36,6011,979,7,312,14,29,6,1347,293,4,122,3,17,0,439,245,5,97,0,6,7,360,141,112,227,30,42,34,586,9174,1748,4557,353,586,281,16699
CED325,19,379,153,10,28,104,693,4,494,9,13,3,7,530,30,810,104,33,66,8,1051,80,406,153,43,132,10,824,133,157,189,9,156,12,656,825,172,407,23,140,10,1577,4019,65,894,23,126,26,5153,3411,19,566,10,56,19,4081,514,7,100,0,5,0,626,149,3,29,3,5,0,189,112,9,39,3,8,0,171,119,170,105,15,33,17,459,9415,2691,2748,185,758,213,16010
CED326,18,425,120,22,25,115,725,4,447,11,35,15,4,516,45,609,152,42,84,9,941,303,341,289,38,153,14,1138,336,77,258,16,169,8,864,1097,106,512,19,89,12,1835,3679,58,1042,48,181,41,5049,4033,12,732,20,75,20,4892,600,0,114,0,13,5,732,172,3,25,0,0,3,203,99,8,28,0,7,0,142,157,146,95,17,37,45,497,10543,2232,3378,257,848,276,17534
