region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED144,415,255,670,273,279,552,5,3,8,6,0,6,45,26,71,20787,16481,37268,1633,1598,3231,724,24,748,271,27,298,180,34,214,165,88,253,606,617,1223,25110,19432,44542,40,37,77,0,0,0,3,0,3,191,99,290,39,41,80,18,5,23,291,182,473,3,0,3,0,0,0,18,9,27,13,25,38,3,3,6,37,37,74,184,83,267,512,302,814,57,28,85,3,7,10,5,6,11,65,41,106,837,1158,1995,2590,3844,6434,507,423,930,29621,25200,54821
CED145,176,133,309,5760,5978,11738,1932,1218,3150,5,8,13,217,108,325,19357,15650,35007,1099,1754,2853,419,11,430,764,115,879,833,216,1049,288,131,419,1730,2049,3779,32580,27371,59951,501,476,977,367,331,698,0,0,0,43,36,79,19,36,55,7,5,12,937,884,1821,467,468,935,0,0,0,188,200,388,96,154,250,96,65,161,847,887,1734,561,237,798,2345,2008,4353,358,303,661,99,83,182,47,15,62,504,401,905,2102,2706,4808,2276,4240,6516,394,381,775,40201,37107,77308
CED146,4750,4350,9100,557,962,1519,3,4,7,13,13,26,228,39,267,21369,12380,33749,1318,1973,3291,746,13,759,185,27,212,149,27,176,253,83,336,846,860,1706,30417,20731,51148,1167,1198,2365,15,7,22,24,10,34,446,332,778,123,256,379,58,17,75,1833,1820,3653,0,0,0,0,0,0,31,23,54,23,71,94,6,0,6,60,94,154,140,89,229,2033,2003,4036,206,208,414,3,3,6,4,3,7,213,214,427,603,857,1460,1936,2558,4494,887,585,1472,36089,26948,63037
CED147,4223,3580,7803,3606,4542,8148,529,305,834,15,16,31,583,444,1027,17030,13065,30095,1132,1811,2943,239,13,252,1107,236,1343,1307,360,1667,442,213,655,5042,5051,10093,35255,29636,64891,2554,2656,5210,45,35,80,5,3,8,226,151,377,80,111,191,124,84,208,3034,3040,6074,42,32,74,5,8,13,71,77,148,44,74,118,96,66,162,258,257,515,362,211,573,3654,3508,7162,339,277,616,30,24,54,37,12,49,406,313,719,2506,2857,5363,2293,3754,6047,485,487,972,44599,40555,85154
CED148,2842,2862,5704,263,465,728,3,0,3,6,6,12,75,16,91,23426,16441,39867,1604,1973,3577,1000,20,1020,218,16,234,102,14,116,174,69,243,400,469,869,30113,22351,52464,525,611,1136,4,0,4,9,10,19,667,626,1293,187,339,526,54,24,78,1446,1610,3056,0,0,0,0,0,0,20,22,42,19,53,72,4,8,12,43,83,126,168,74,242,1657,1767,3424,219,239,458,3,6,9,7,4,11,229,249,478,515,877,1392,2059,3104,5163,649,546,1195,35222,28894,64116
CED194,133,106,239,85,104,189,9,12,21,0,3,3,12,6,18,953,512,1465,170,99,269,45,3,48,19,3,22,29,12,41,48,19,67,237,149,386,1740,1028,2768,46,37,83,0,4,4,0,0,0,13,7,20,7,4,11,3,4,7,69,56,125,3,0,3,0,0,0,0,3,3,3,5,8,0,0,0,6,8,14,17,5,22,92,69,161,13,6,19,0,3,3,5,0,5,18,9,27,47,48,95,252,259,511,56,30,86,2205,1443,3648
CED197,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,0,3,13,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,4,5,9,3,0,3,23,9,32
CED201,945,742,1687,292,360,652,13,4,17,39,42,81,43,17,60,26092,20904,46996,1290,1759,3049,480,15,495,206,10,216,214,21,235,176,72,248,379,401,780,30169,24347,54516,366,189,555,0,0,0,32,27,59,843,502,1345,81,156,237,23,3,26,1345,877,2222,0,0,0,12,11,23,16,12,28,43,70,113,3,5,8,74,98,172,223,107,330,1642,1082,2724,269,266,535,15,9,24,9,4,13,293,279,572,939,1227,2166,2341,4289,6630,449,426,875,35833,31650,67483
CED202,509,418,927,209,244,453,14,5,19,16,14,30,76,54,130,23637,19610,43247,1760,1642,3402,564,14,578,150,22,172,386,65,451,194,88,282,1027,975,2002,28542,23151,51693,35,29,64,0,0,0,36,41,77,202,148,350,25,43,68,23,5,28,321,266,587,0,0,0,0,0,0,10,6,16,27,34,61,7,7,14,44,47,91,238,123,361,603,436,1039,88,103,191,6,9,15,15,4,19,109,116,225,1319,1515,2834,2683,4952,7635,500,468,968,33756,30638,64394
CED203,3093,3032,6125,386,519,905,10,3,13,1312,1803,3115,132,59,191,18059,13956,32015,955,1424,2379,369,7,376,307,69,376,1852,900,2752,190,92,282,742,843,1585,27407,22707,50114,290,264,554,0,0,0,472,427,899,278,305,583,43,104,147,76,74,150,1159,1174,2333,4,0,4,156,207,363,14,13,27,15,32,47,7,8,15,196,260,456,283,289,572,1638,1723,3361,284,302,586,19,25,44,29,8,37,332,335,667,839,1067,1906,2353,4253,6606,619,535,1154,33188,30620,63808
CED204,294,235,529,221,260,481,15,3,18,24,6,30,63,64,127,22101,18632,40733,1808,1740,3548,573,18,591,229,56,285,465,118,583,193,77,270,1231,1167,2398,27217,22376,49593,18,16,34,0,0,0,24,25,49,99,63,162,6,11,17,40,18,58,187,133,320,0,0,0,0,0,0,7,8,15,25,25,50,4,7,11,36,40,76,237,125,362,460,298,758,69,66,135,11,8,19,14,4,18,94,78,172,1442,1612,3054,2718,4823,7541,551,480,1031,32482,29667,62149
CED205,1509,1225,2734,580,605,1185,3,4,7,17,16,33,102,32,134,22956,15479,38435,1231,1823,3054,411,8,419,132,14,146,209,32,241,184,72,256,511,521,1032,27845,19831,47676,468,365,833,0,0,0,59,69,128,672,432,1104,87,149,236,36,6,42,1322,1021,2343,0,0,0,8,3,11,14,16,30,33,68,101,9,10,19,64,97,161,166,88,254,1552,1206,2758,291,304,595,12,11,23,8,0,8,311,315,626,772,974,1746,1897,2861,4758,663,517,1180,33040,25704,58744
CED206,1438,1691,3129,269,272,541,8,0,8,30,49,79,126,24,150,28867,19813,48680,1882,2040,3922,831,17,848,186,16,202,128,20,148,243,64,307,380,374,754,34388,24380,58768,258,277,535,0,0,0,61,91,152,475,415,890,68,140,208,33,7,40,895,930,1825,0,0,0,6,15,21,25,36,61,19,29,48,0,0,0,50,80,130,211,133,344,1156,1143,2299,234,327,561,7,8,15,16,0,16,257,335,592,508,949,1457,2453,3791,6244,902,663,1565,39664,31261,70925
CED207,1176,920,2096,216,218,434,10,3,13,8,0,8,31,19,50,25663,20623,46286,1521,1401,2922,826,14,840,186,21,207,162,20,182,167,73,240,490,418,908,30456,23730,54186,246,196,442,0,0,0,42,22,64,599,396,995,71,93,164,39,3,42,997,710,1707,0,0,0,0,0,0,14,13,27,20,43,63,3,4,7,37,60,97,252,79,331,1286,849,2135,188,160,348,4,3,7,14,0,14,206,163,369,1190,1716,2906,2630,4843,7473,498,458,956,36266,31759,68025
CED208,3182,2481,5663,610,770,1380,7,4,11,251,235,486,62,40,102,20408,15857,36265,896,1697,2593,284,5,289,229,14,243,492,75,567,164,80,244,936,1023,1959,27521,22281,49802,544,480,1024,0,0,0,282,249,531,621,526,1147,93,194,287,69,26,95,1609,1475,3084,0,0,0,56,63,119,24,21,45,23,58,81,8,11,19,111,153,264,211,130,341,1931,1758,3689,388,368,756,13,15,28,23,3,26,424,386,810,1118,1304,2422,2363,4048,6411,447,412,859,33804,30189,63993
CED209,377,253,630,263,283,546,16,3,19,12,16,28,50,26,76,24158,19469,43627,1458,1618,3076,542,13,555,163,26,189,431,100,531,221,88,309,990,927,1917,28681,22822,51503,29,24,53,0,0,0,14,11,25,324,188,512,21,31,52,18,4,22,406,258,664,0,0,0,0,0,0,12,27,39,22,35,57,10,3,13,44,65,109,266,105,371,716,428,1144,146,130,276,10,11,21,21,12,33,177,153,330,1785,1995,3780,3092,5281,8373,513,452,965,34964,31131,66095
CED210,782,503,1285,296,494,790,10,3,13,0,4,4,83,51,134,21378,17298,38676,1585,1681,3266,406,8,414,170,21,191,478,124,602,159,60,219,959,1048,2007,26306,21295,47601,32,24,56,0,0,0,43,47,90,227,137,364,37,32,69,56,5,61,395,245,640,0,0,0,0,0,0,20,22,42,23,49,72,15,11,26,58,82,140,237,112,349,690,439,1129,128,121,249,3,6,9,11,0,11,142,127,269,689,929,1618,2589,4404,6993,510,447,957,30926,27641,58567
CED211,2626,2107,4733,359,433,792,12,0,12,84,96,180,61,26,87,20693,16649,37342,960,1372,2332,337,6,343,215,17,232,333,46,379,159,59,218,585,551,1136,26424,21362,47786,558,413,971,0,0,0,193,144,337,599,435,1034,112,178,290,88,32,120,1550,1202,2752,0,0,0,38,27,65,15,14,29,22,36,58,10,6,16,85,83,168,180,95,275,1815,1380,3195,280,313,593,7,10,17,12,0,12,299,323,622,1053,1262,2315,2211,4323,6534,396,380,776,32198,29030,61228
CED212,848,649,1497,314,302,616,13,4,17,5,3,8,54,34,88,24468,19962,44430,1583,1505,3088,611,8,619,204,21,225,199,37,236,199,79,278,506,553,1059,29004,23157,52161,199,151,350,0,0,0,25,34,59,392,261,653,53,82,135,52,5,57,721,533,1254,0,0,0,0,0,0,4,15,19,28,45,73,9,7,16,41,67,108,237,90,327,999,690,1689,145,149,294,10,3,13,11,3,14,166,155,321,1051,1536,2587,2575,4568,7143,557,500,1057,34352,30606,64958
CED213,172,160,332,179,169,348,19,4,23,17,10,27,22,20,42,23532,18371,41903,1611,1385,2996,891,19,910,193,21,214,190,55,245,271,103,374,1263,799,2062,28360,21116,49476,60,21,81,0,0,0,8,5,13,184,156,340,22,27,49,8,0,8,282,209,491,0,0,0,0,3,3,8,10,18,13,20,33,9,3,12,30,36,66,234,86,320,546,331,877,56,62,118,6,8,14,18,4,22,80,74,154,1664,2172,3836,2704,4407,7111,556,495,1051,33910,28595,62505
CED214,3549,3477,7026,646,676,1322,17,3,20,113,152,265,105,60,165,23611,16492,40103,1266,2009,3275,328,10,338,403,70,473,1116,349,1465,189,73,262,746,868,1614,32089,24239,56328,637,589,1226,0,0,0,384,423,807,395,437,832,89,179,268,151,66,217,1656,1694,3350,0,0,0,44,65,109,17,23,40,21,34,55,9,12,21,91,134,225,220,156,376,1967,1984,3951,471,537,1008,7,9,16,14,5,19,492,551,1043,887,1270,2157,2424,4007,6431,626,512,1138,38485,32563,71048
CED215,81,48,129,201,102,303,12,5,17,0,7,7,45,40,85,20607,17707,38314,1696,1540,3236,513,21,534,233,29,262,405,105,510,540,118,658,1286,1094,2380,25619,20816,46435,10,3,13,0,0,0,5,5,10,21,15,36,6,4,10,6,4,10,48,31,79,0,0,0,0,0,0,13,7,20,15,24,39,3,4,7,31,35,66,299,119,418,378,185,563,29,12,41,4,3,7,14,3,17,47,18,65,1553,1664,3217,3026,4192,7218,553,462,1015,31176,27337,58513
CED216,3932,3050,6982,159,271,430,8,3,11,136,169,305,106,45,151,20632,16880,37512,738,1311,2049,235,6,241,258,40,298,834,164,998,167,93,260,692,828,1520,27897,22860,50757,280,209,489,0,0,0,352,322,674,487,414,901,89,130,219,128,33,161,1336,1108,2444,0,0,0,12,8,20,9,4,13,10,19,29,3,4,7,34,35,69,226,148,374,1596,1291,2887,229,202,431,3,7,10,22,10,32,254,219,473,1700,2173,3873,2296,4309,6605,411,434,845,34154,31286,65440
CED217,2145,2457,4602,224,383,607,8,6,14,23,23,46,173,44,217,34452,23137,57589,2026,2767,4793,758,15,773,209,19,228,145,23,168,258,93,351,258,366,624,40679,29333,70012,377,417,794,0,0,0,85,115,200,717,667,1384,119,256,375,36,3,39,1334,1458,2792,0,0,0,0,5,5,23,23,46,24,45,69,7,3,10,54,76,130,239,164,403,1627,1698,3325,338,488,826,9,11,20,8,5,13,355,504,859,672,1067,1739,2639,4321,6960,1094,870,1964,47066,37793,84859
CED218,5307,4427,9734,310,349,659,5,3,8,1426,1763,3189,110,89,199,18722,15097,33819,713,1278,1991,134,7,141,275,44,319,1229,390,1619,208,139,347,1712,2011,3723,30151,25597,55748,220,204,424,0,0,0,808,836,1644,220,224,444,52,81,133,111,55,166,1411,1400,2811,0,5,5,51,93,144,5,7,12,7,7,14,10,6,16,73,118,191,223,196,419,1707,1714,3421,250,204,454,7,7,14,26,18,44,283,229,512,1727,1993,3720,2366,4091,6457,374,366,740,36608,33990,70598
CED219,1576,1453,3029,346,470,816,12,4,16,10,14,24,65,40,105,36652,25772,62424,2520,2674,5194,1023,27,1050,234,18,252,106,12,118,252,88,340,291,370,661,43087,30942,74029,420,362,782,0,0,0,45,58,103,594,407,1001,111,187,298,36,8,44,1206,1022,2228,0,0,0,0,0,0,12,6,18,37,77,114,5,3,8,54,86,140,235,131,366,1495,1239,2734,289,301,590,5,11,16,8,5,13,302,317,619,741,1242,1983,2812,4593,7405,899,681,1580,49336,39014,88350
CED220,2602,2287,4889,413,601,1014,9,0,9,35,41,76,129,38,167,22206,16422,38628,1071,1652,2723,433,10,443,201,14,215,490,76,566,203,85,288,549,595,1144,28341,21821,50162,405,374,779,0,0,0,167,168,335,603,515,1118,90,158,248,72,33,105,1337,1248,2585,0,0,0,5,7,12,17,19,36,30,48,78,10,5,15,62,79,141,178,116,294,1577,1443,3020,290,308,598,7,7,14,17,5,22,314,320,634,862,1100,1962,2110,3547,5657,566,477,1043,33770,28708,62478
CED221,31,18,49,197,124,321,7,6,13,11,15,26,41,32,73,20746,17431,38177,1595,1501,3096,623,26,649,268,42,310,503,139,642,325,128,453,1895,1482,3377,26242,20944,47186,5,0,5,0,0,0,0,4,4,10,6,16,0,5,5,0,0,0,15,15,30,0,0,0,0,0,0,10,10,20,10,22,32,8,3,11,28,35,63,274,98,372,317,148,465,8,5,13,3,3,6,17,6,23,28,14,42,2189,2107,4296,2592,4249,6841,545,482,1027,31913,27944,59857
CED222,2525,2169,4694,332,397,729,6,3,9,8,10,18,58,35,93,27986,21351,49337,1580,1950,3530,538,15,553,213,17,230,357,63,420,199,78,277,475,616,1091,34277,26704,60981,300,303,603,0,0,0,122,134,256,469,412,881,88,158,246,55,21,76,1034,1028,2062,0,0,0,0,6,6,16,14,30,30,51,81,5,4,9,51,75,126,213,108,321,1298,1211,2509,220,232,452,6,6,12,8,0,8,234,238,472,929,1331,2260,2443,4417,6860,691,563,1254,39872,34464,74336
CED223,2661,2319,4980,379,468,847,11,5,16,45,42,87,86,39,125,21595,18018,39613,964,1393,2357,380,10,390,256,46,302,552,95,647,156,89,245,828,735,1563,27913,23259,51172,336,218,554,0,0,0,180,161,341,539,481,1020,99,168,267,91,28,119,1245,1056,2301,0,0,0,22,29,51,24,45,69,25,49,74,4,9,13,75,132,207,215,149,364,1535,1337,2872,230,219,449,13,13,26,25,3,28,268,235,503,1199,1531,2730,2508,4683,7191,447,423,870,33870,31468,65338
CED224,2996,2356,5352,564,469,1033,8,7,15,1763,1954,3717,121,58,179,18725,15499,34224,701,1453,2154,124,3,127,258,31,289,956,194,1150,191,110,301,1142,1266,2408,27549,23400,50949,121,92,213,0,0,0,556,517,1073,245,183,428,47,69,116,50,29,79,1019,890,1909,0,0,0,138,129,267,20,35,55,9,22,31,10,7,17,177,193,370,305,259,564,1501,1342,2843,216,185,401,27,27,54,31,18,49,274,230,504,1706,2056,3762,2392,4235,6627,388,379,767,33810,31642,65452
CED225,1464,1136,2600,209,202,411,19,5,24,9,8,17,29,33,62,28547,22842,51389,1575,1614,3189,781,18,799,270,21,291,163,23,186,185,101,286,452,460,912,33703,26463,60166,226,154,380,0,0,0,52,46,98,480,359,839,91,125,216,46,7,53,895,691,1586,0,0,0,3,3,6,11,8,19,27,37,64,10,3,13,51,51,102,237,99,336,1183,841,2024,172,175,347,6,3,9,18,7,25,196,185,381,1277,1929,3206,2651,4875,7526,546,500,1046,39556,34793,74349
CED226,2564,2800,5364,215,363,578,16,6,22,29,18,47,102,50,152,40171,27404,67575,2908,3284,6192,866,25,891,372,26,398,236,52,288,303,111,414,533,614,1147,48315,34753,83068,480,499,979,0,0,0,117,161,278,1063,701,1764,171,360,531,76,12,88,1907,1733,3640,0,0,0,5,0,5,16,12,28,27,59,86,14,6,20,62,77,139,353,198,551,2322,2008,4330,545,675,1220,4,5,9,19,5,24,568,685,1253,923,1539,2462,3726,5833,9559,921,795,1716,56775,45613,102388
CED227,9,9,18,185,97,282,13,3,16,7,3,10,45,44,89,19276,15637,34913,1547,1573,3120,595,19,614,228,42,270,397,95,492,476,129,605,1891,1648,3539,24669,19299,43968,0,3,3,0,0,0,0,3,3,3,0,3,3,0,3,0,0,0,6,6,12,0,0,0,0,0,0,20,6,26,12,19,31,7,0,7,39,25,64,231,96,327,276,127,403,4,0,4,9,7,16,21,10,31,34,17,51,2522,2081,4603,2028,3427,5455,575,518,1093,30104,25469,55573
CED228,2128,2107,4235,270,344,614,13,3,16,399,680,1079,109,57,166,20447,14502,34949,1065,1637,2702,383,4,387,227,30,257,439,104,543,203,75,278,527,554,1081,26210,20097,46307,450,421,871,0,0,0,297,274,571,312,372,684,45,92,137,34,10,44,1138,1169,2307,0,0,0,59,100,159,13,12,25,12,25,37,7,6,13,91,143,234,187,158,345,1416,1470,2886,309,338,647,13,10,23,6,8,14,328,356,684,699,899,1598,1984,3290,5274,598,463,1061,31235,26575,57810
CED229,1210,1094,2304,207,180,387,16,9,25,9,22,31,59,21,80,34126,26271,60397,1984,1983,3967,1170,21,1191,213,27,240,169,42,211,285,141,426,1026,840,1866,40474,30651,71125,136,102,238,0,0,0,64,66,130,665,573,1238,104,142,246,36,13,49,1005,896,1901,0,0,0,6,15,21,16,15,31,32,36,68,3,0,3,57,66,123,403,161,564,1465,1123,2588,221,258,479,4,5,9,27,0,27,252,263,515,1931,2676,4607,3555,6273,9828,698,658,1356,48375,41644,90019
CED230,534,388,922,144,109,253,15,7,22,11,4,15,32,19,51,22653,17622,40275,1681,1449,3130,738,19,757,216,28,244,181,38,219,247,87,334,1157,1037,2194,27609,20807,48416,93,47,140,0,0,0,23,17,40,132,105,237,38,42,80,25,4,29,311,215,526,0,0,0,0,3,3,14,5,19,18,16,34,3,5,8,35,29,64,275,75,350,621,319,940,80,67,147,5,4,9,20,0,20,105,71,176,1973,2193,4166,2562,4447,7009,598,466,1064,33468,28303,61771
CED231,3484,3504,6988,477,583,1060,11,8,19,5633,6849,12482,204,204,408,16394,13254,29648,784,1428,2212,134,4,138,554,117,671,3883,2287,6170,328,207,535,7915,7962,15877,39801,36407,76208,238,253,491,0,0,0,947,993,1940,105,108,213,45,83,128,156,115,271,1491,1552,3043,0,0,0,133,204,337,17,9,26,3,12,15,8,19,27,161,244,405,509,454,963,2161,2250,4411,354,316,670,19,24,43,64,43,107,437,383,820,1953,1974,3927,3337,5515,8852,485,468,953,48174,46997,95171
CED232,2823,2545,5368,367,464,831,22,8,30,5248,5936,11184,178,144,322,21118,17350,38468,957,1658,2615,160,11,171,545,97,642,2000,874,2874,296,192,488,3824,3896,7720,37538,33175,70713,189,158,347,7,0,7,861,836,1697,156,172,328,39,68,107,89,44,133,1341,1278,2619,0,0,0,158,202,360,7,15,22,6,8,14,13,19,32,184,244,428,509,466,975,2034,1988,4022,325,275,600,19,20,39,43,41,84,387,336,723,2000,2167,4167,2717,4459,7176,462,435,897,45138,42560,87698
CED233,456,345,801,1606,1639,3245,8,3,11,21,18,39,70,32,102,21707,16908,38615,977,1781,2758,400,9,409,141,14,155,153,11,164,152,73,225,332,340,672,26023,21173,47196,235,184,419,0,0,0,16,10,26,349,219,568,34,64,98,3,3,6,637,480,1117,0,0,0,132,117,249,125,133,258,42,91,133,14,0,14,313,341,654,175,128,303,1125,949,2074,135,115,250,41,48,89,11,5,16,187,168,355,1391,1568,2959,2039,3535,5574,432,429,861,31197,27822,59019
CED234,19,12,31,85,120,205,19,3,22,5,8,13,36,43,79,19899,16599,36498,1598,1624,3222,530,20,550,342,40,382,492,108,600,253,83,336,1483,1346,2829,24761,20006,44767,0,3,3,0,0,0,0,3,3,3,3,6,3,0,3,3,0,3,9,9,18,3,0,3,0,0,0,3,3,6,5,10,15,3,4,7,14,17,31,206,91,297,229,117,346,5,4,9,5,4,9,17,4,21,27,12,39,2295,1919,4214,2173,3579,5752,548,461,1009,30033,26094,56127
CED235,1263,1383,2646,260,378,638,13,0,13,118,152,270,115,25,140,23781,17197,40978,1324,1698,3022,640,5,645,127,10,137,127,22,149,196,51,247,291,278,569,28255,21199,49454,230,205,435,3,0,3,72,71,143,460,378,838,49,112,161,29,6,35,843,772,1615,0,0,0,29,42,71,16,9,25,30,42,72,3,7,10,78,100,178,179,101,280,1100,973,2073,193,230,423,7,12,19,4,7,11,204,249,453,437,722,1159,1972,3347,5319,696,574,1270,32664,27064,59728
CED236,24,24,48,169,86,255,10,3,13,12,10,22,33,32,65,19325,16354,35679,1646,1521,3167,588,34,622,336,77,413,362,93,455,362,132,494,1905,1556,3461,24772,19922,44694,4,4,8,0,0,0,0,3,3,6,9,15,0,3,3,0,3,3,10,22,32,0,0,0,0,0,0,14,5,19,9,15,24,0,0,0,23,20,43,235,82,317,268,124,392,7,3,10,8,3,11,25,5,30,40,11,51,3064,2414,5478,2664,3976,6640,558,496,1054,31366,26943,58309
CED237,3078,2858,5936,226,253,479,7,5,12,2360,3167,5527,163,67,230,20635,15068,35703,1070,1568,2638,385,16,401,392,70,462,1935,1129,3064,263,104,367,745,900,1645,31259,25205,56464,288,263,551,0,3,3,493,489,982,279,235,514,63,89,152,100,52,152,1223,1131,2354,0,0,0,160,261,421,13,16,29,10,29,39,6,6,12,189,312,501,351,368,719,1763,1811,3574,303,295,598,14,25,39,30,22,52,347,342,689,889,1102,1991,2612,4541,7153,649,496,1145,37519,33497,71016
CED294,75,65,140,34,34,68,0,0,0,45,46,91,3,7,10,654,372,1026,89,50,139,27,3,30,6,0,6,27,18,45,31,15,46,151,146,297,1142,756,1898,14,12,26,0,0,0,13,17,30,7,9,16,5,7,12,0,3,3,39,48,87,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,16,7,23,60,55,115,11,17,28,0,0,0,0,0,0,11,17,28,38,32,70,162,165,327,26,17,43,1439,1042,2481
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,11,0,11,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,33,0,33
CED301,807,863,1670,184,181,365,7,6,13,3,3,6,44,37,81,21326,16923,38249,1817,1983,3800,1004,35,1039,540,32,572,164,15,179,212,85,297,753,653,1406,26861,20816,47677,109,112,221,0,0,0,0,0,0,403,397,800,79,128,207,50,7,57,641,644,1285,0,0,0,0,0,0,17,21,38,10,24,34,0,5,5,27,50,77,267,100,367,935,794,1729,71,86,157,4,3,7,19,6,25,94,95,189,870,1233,2103,2577,3875,6452,539,400,939,31876,27213,59089
CED302,1057,1169,2226,2354,2768,5122,26,30,56,3,3,6,83,47,130,23514,18675,42189,1553,2309,3862,626,9,635,600,58,658,433,63,496,241,86,327,650,695,1345,31140,25912,57052,143,137,280,3,4,7,0,0,0,256,282,538,42,84,126,38,18,56,482,525,1007,8,3,11,0,0,0,209,369,578,103,198,301,33,11,44,353,581,934,304,189,493,1139,1295,2434,76,80,156,23,27,50,23,9,32,122,116,238,1249,1736,2985,2705,4491,7196,449,425,874,36804,33975,70779
CED303,808,837,1645,630,820,1450,30,32,62,4,0,4,44,32,76,24313,20064,44377,1590,1951,3541,946,15,961,481,28,509,224,52,276,288,121,409,525,599,1124,29883,24551,54434,87,79,166,0,0,0,0,0,0,226,257,483,48,68,116,28,7,35,389,411,800,18,29,47,0,0,0,130,211,341,48,109,157,6,18,24,202,367,569,561,347,908,1152,1125,2277,58,64,122,16,43,59,64,33,97,138,140,278,1199,1935,3134,2649,4280,6929,463,446,909,35484,32477,67961
CED304,2502,2324,4826,4009,5108,9117,124,137,261,19,8,27,241,205,446,21138,16120,37258,1477,2409,3886,272,11,283,813,157,970,1457,376,1833,320,149,469,4924,4559,9483,37296,31563,68859,417,430,847,4,3,7,0,0,0,148,198,346,44,69,113,68,17,85,681,717,1398,27,20,47,0,0,0,79,118,197,70,136,206,84,59,143,260,333,593,263,166,429,1204,1216,2420,113,99,212,40,31,71,38,13,51,191,143,334,1596,2006,3602,3044,5085,8129,418,405,823,43749,40418,84167
