CED_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
CED136,0,0,0,0,0,14,370,44,3,8,3,0,3,3,0,0,3,81,5,0,0,0,0,0,0,0,0,0,7,362,35,30,6,5,7,4,4,5,17,459,0,0,0,0,0,0,0,0,0,8,9,2017,99,72,19,12,9,12,4,8,77,2329,2291,43,37,8,0,7,4,3,0,66,2468,343,6,8,0,0,0,0,0,0,6,371,25,0,4,4,0,0,0,0,0,3,44,3,0,0,0,0,0,0,0,0,0,3,378,10,16,4,0,0,0,0,0,9,418,3,0,0,0,0,0,0,0,0,8,14,2674,51,49,7,3,10,7,3,0,88,2897,997,22,14,0,3,4,0,5,3,26,1077,229,0,3,0,0,0,0,0,0,3,235,31,0,0,0,0,0,0,0,0,3,39,3,0,0,0,0,0,0,0,0,0,3,263,3,3,0,0,0,0,0,0,10,278,9,0,0,0,0,0
CED137,22,31,15,9,25,97,5105,1613,271,299,101,103,97,88,65,87,250,2979,45,3,0,0,0,0,0,5,0,5,60,6222,506,400,128,130,125,106,81,109,347,8141,3,5,0,0,0,0,0,0,0,43,49,8091,582,451,133,145,131,109,91,107,434,10286,1567,33,19,3,4,3,0,3,4,38,1671,3183,58,29,3,7,10,14,14,5,82,3403,1225,111,154,38,32,40,39,40,31,98,1794,21,0,0,0,0,0,0,0,0,3,31,4426,172,185,40,41,45,51,49,35,179,5233,3,0,0,0,0,0,0,0,0,12,23,5998,199,199,46,45,46,57,57,42,239,6926,668,6,14,0,3,0,0,0,0,24,712,1875,28,22,3,3,0,4,3,4,56,1991,1568,104,82,11,22,4,13,8,11,84,1894,28,3,0,0,0,0,0,0,0,3,40,3469,132,100,14,21,4,11,16,14,144,3928,0,0,0,0,0,0
CED138,8,0,3,5,4,18,500,33,0,3,3,0,7,0,0,0,4,45,4,0,0,0,0,0,0,0,0,0,8,451,29,26,9,8,7,3,5,4,21,557,9,0,0,0,0,0,0,0,0,3,11,3343,179,95,26,25,20,9,14,10,145,3863,3262,104,65,21,16,7,6,5,0,122,3610,366,14,10,3,3,0,0,0,0,14,415,19,0,0,0,0,3,0,0,0,3,28,10,0,0,0,0,0,0,0,0,0,10,392,17,14,3,3,3,0,0,0,20,452,14,0,0,0,0,0,0,0,0,0,12,3674,115,83,21,18,9,6,9,0,141,4072,1906,75,21,10,0,3,4,3,3,111,2139,260,3,4,0,0,0,0,0,0,6,283,18,0,3,0,0,0,0,0,0,4,27,8,0,0,0,0,0,0,0,0,3,6,287,6,11,0,0,3,0,0,0,14,319,19,0,0,0,0,0
CED139,3,0,3,3,3,15,283,31,5,5,3,3,0,6,6,8,12,86,0,0,0,0,0,0,0,0,0,0,0,227,42,30,7,7,3,7,8,11,34,372,5,0,0,0,0,0,0,0,0,20,26,1183,96,50,14,18,9,15,8,11,104,1506,1204,19,11,3,0,4,4,0,0,48,1290,181,6,4,3,0,0,3,0,0,19,216,23,4,6,0,0,3,0,3,0,3,44,3,0,0,0,0,0,0,0,0,0,0,208,14,9,5,0,5,3,3,0,23,264,4,0,0,0,0,0,0,0,0,5,8,1416,32,20,11,0,9,8,4,0,74,1565,584,8,4,3,0,0,0,0,4,24,621,103,0,4,0,3,0,0,0,0,4,114,15,0,3,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,3,3,118,0,9,0,3,0,0,0,0,15,142,0,0,0,0,0,0
CED140,4,3,7,3,0,13,796,73,13,23,5,9,5,9,4,6,10,172,3,0,0,0,0,0,0,0,0,0,3,765,56,54,10,12,13,14,10,12,25,968,9,0,0,0,0,0,0,0,0,9,15,3588,203,135,20,32,22,24,14,9,119,4169,3011,91,99,12,12,7,10,17,0,85,3346,664,11,18,0,0,6,0,3,0,13,720,85,10,22,6,0,0,9,5,3,6,155,8,0,0,0,0,0,0,0,0,0,5,751,26,45,6,3,8,9,12,7,27,876,11,0,0,0,0,0,0,0,0,3,11,3771,112,142,13,16,14,18,27,3,115,4236,1648,77,31,3,4,3,7,3,0,76,1855,411,11,4,0,0,0,0,0,0,9,441,70,3,0,0,0,0,0,4,0,3,89,6,0,0,0,0,0,0,0,0,3,11,483,12,10,0,3,0,0,4,0,17,531,3,0,0,0,0,0
CED141,5,3,3,0,0,7,518,49,7,4,0,0,7,0,0,0,4,78,9,0,0,0,0,0,0,0,0,0,8,509,32,24,3,8,5,3,0,0,14,601,0,0,0,0,0,0,0,0,0,4,4,2128,98,57,18,18,11,3,3,0,75,2410,2127,21,13,9,6,0,0,4,0,61,2242,542,0,9,0,0,0,0,0,0,17,565,52,6,4,0,0,0,0,4,0,3,75,4,0,0,0,0,0,0,0,0,3,7,599,8,11,0,0,0,0,4,0,15,643,8,0,0,0,0,0,0,0,0,5,13,2733,30,22,7,6,0,3,6,0,89,2903,1175,12,0,0,0,3,0,0,0,57,1255,305,6,0,0,0,0,3,0,0,12,321,76,3,0,0,0,0,0,0,0,3,83,5,0,0,0,0,0,0,0,0,4,9,382,6,0,0,0,0,3,0,0,17,415,4,0,0,0,0,0
CED142,18,26,28,27,11,59,2179,669,103,121,22,37,35,52,49,25,95,1203,19,0,0,0,0,0,0,0,0,3,18,2519,204,184,38,55,57,83,72,39,154,3402,0,0,3,0,0,0,0,0,0,4,11,4981,345,270,72,68,82,106,97,59,224,6299,1777,42,39,3,6,7,3,4,0,38,1927,1277,31,33,11,5,4,3,21,5,26,1424,658,71,86,20,30,23,18,18,10,55,992,17,3,0,0,0,0,0,0,0,8,32,1956,104,122,23,36,32,26,40,17,88,2441,3,0,0,0,0,0,0,0,0,0,6,3738,142,159,29,43,30,27,47,15,123,4377,619,13,3,0,3,0,0,0,0,25,662,528,13,4,9,0,0,0,0,0,12,573,847,69,47,4,9,3,0,9,5,36,1027,13,0,0,0,0,0,0,0,0,0,13,1390,87,51,10,11,3,0,7,6,47,1615,0,0,0,0,0,0
CED143,13,8,8,10,3,15,1511,179,19,30,9,8,11,9,3,6,15,297,13,0,0,0,0,0,0,0,0,0,14,1519,97,79,15,19,21,22,12,14,30,1816,3,0,0,0,0,0,0,0,0,5,7,4785,340,192,28,40,33,46,36,21,98,5615,2735,54,56,17,15,6,7,13,3,56,2965,1006,20,19,3,5,3,3,4,3,26,1083,146,16,26,6,3,3,9,7,8,8,234,14,0,0,0,0,0,0,0,0,0,19,1162,34,41,11,9,4,10,9,12,34,1326,4,0,0,0,0,0,0,0,0,4,4,3902,86,94,33,26,13,17,21,14,98,4299,1262,33,22,8,0,6,0,5,0,39,1376,553,4,6,0,3,3,0,3,0,16,586,159,13,13,0,0,8,0,3,3,9,207,6,0,0,0,0,0,0,0,0,3,10,724,22,21,0,0,8,0,3,3,22,802,5,0,0,0,0,0
CED144,15,24,19,12,9,206,6935,3031,330,293,74,89,78,77,77,68,204,4322,54,9,0,0,3,0,0,0,0,6,76,9354,591,400,99,107,98,100,88,77,417,11335,15,0,0,0,0,0,0,0,0,11,26,10633,640,423,99,121,100,98,88,82,464,12746,1041,10,3,0,6,0,0,3,0,27,1099,3929,47,29,8,6,7,8,3,9,121,4170,2461,137,170,34,40,39,27,32,16,129,3101,60,0,0,0,0,0,0,0,0,3,66,6451,191,204,42,42,45,26,36,25,259,7334,3,0,0,0,0,0,0,0,0,7,11,7494,198,208,42,48,45,33,42,31,303,8441,457,3,0,0,0,0,0,0,0,31,500,2048,16,20,0,0,3,4,4,0,76,2172,2269,105,100,15,12,16,19,11,6,129,2666,32,3,0,0,0,0,0,0,0,3,38,4353,121,114,13,9,17,21,14,6,205,4879,7,0,0,0,0,0
CED145,3,5,3,4,4,35,1629,108,18,24,3,6,5,5,9,10,15,195,10,0,0,0,0,0,0,0,0,0,14,1566,106,55,11,14,12,6,10,15,47,1833,3,0,0,0,0,0,0,0,0,0,4,4729,315,156,33,29,21,27,33,18,109,5476,3053,100,64,16,14,14,18,17,8,58,3348,1545,20,7,3,3,3,6,3,0,29,1618,153,14,21,5,4,0,3,6,0,4,209,15,0,0,0,0,0,0,0,0,0,15,1716,29,30,11,6,3,9,5,3,33,1846,8,0,0,0,0,0,0,0,0,3,10,4770,129,93,24,22,14,21,22,7,95,5207,1482,84,38,3,7,6,6,3,0,50,1685,875,8,7,0,4,0,0,0,3,35,939,239,11,4,4,3,0,0,3,0,8,283,5,0,0,0,0,0,0,0,0,0,5,1124,20,17,4,7,0,0,0,4,50,1231,12,0,0,0,0,0
CED146,30,28,20,18,12,138,7121,2304,233,236,41,62,52,32,34,38,97,3124,64,5,0,3,0,0,0,0,0,9,87,8646,629,417,69,92,78,56,51,45,243,10325,11,0,0,0,0,0,0,0,0,9,17,10161,682,439,71,99,83,62,57,44,315,12016,1207,8,9,0,3,0,0,0,0,24,1261,3243,63,67,12,7,13,8,9,10,68,3504,1562,129,170,43,30,31,27,18,15,64,2077,55,0,0,0,0,0,0,0,0,3,63,4861,191,238,53,33,44,35,31,27,143,5645,5,0,0,0,0,0,0,0,0,3,12,6076,203,248,53,35,44,38,31,28,174,6923,483,5,3,0,0,0,0,0,0,12,501,1103,24,22,0,0,4,8,0,0,28,1192,1055,86,56,9,8,15,3,7,6,35,1272,32,0,0,0,0,0,0,0,0,3,33,2188,107,83,6,9,14,13,7,7,63,2502,3,0,0,0,0,0
CED147,9,3,0,0,0,34,1412,225,7,17,0,4,3,5,0,14,26,299,18,3,0,0,0,0,0,0,0,4,21,1559,39,31,4,12,4,9,3,14,61,1736,6,0,0,0,0,0,0,0,0,0,12,4907,106,70,14,16,14,9,5,14,164,5321,3597,39,39,0,9,3,15,5,0,126,3832,1351,13,8,4,0,0,0,0,0,41,1417,379,4,9,3,4,0,3,3,0,16,416,20,0,0,0,0,0,0,0,0,3,23,1748,18,13,7,4,0,3,3,0,54,1858,16,0,0,0,0,0,0,0,0,3,18,5359,62,52,3,13,5,15,5,0,186,5702,2189,15,19,5,0,0,0,0,0,75,2304,797,3,0,0,0,0,0,0,0,36,835,386,3,7,0,3,0,0,0,0,46,449,13,0,0,0,0,0,0,0,0,7,21,1190,8,8,0,3,0,0,0,0,89,1299,12,0,0,0,0,0
CED194,0,0,0,0,0,3,77,16,0,4,0,0,3,0,0,0,5,29,4,0,0,0,0,0,0,0,0,0,3,74,4,9,0,0,3,0,0,0,14,105,0,0,0,0,0,0,0,0,0,35,35,250,15,21,3,0,6,0,3,5,55,355,177,15,0,0,0,0,0,0,8,7,214,30,0,0,0,0,0,0,0,0,3,38,9,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,39,4,0,0,0,0,0,0,0,5,51,0,0,0,0,0,0,0,0,0,11,15,219,18,0,0,0,0,0,0,8,26,270,42,0,0,0,0,0,0,0,0,0,48,9,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,3,20,0,0,0,0,0,0
CED197,0,0,0,0,0,0,7,5,3,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,10,33,19,0,0,0,0,0,0,3,0,8,31,8,0,0,0,0,0,0,0,0,3,15,4,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,39,0,3,0,0,0,0,3,0,12,54,0,0,0,0,0,0,4,0,0,0,6,11,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
CED201,13,13,10,12,9,46,3368,531,89,136,42,29,41,47,42,25,69,1044,16,0,0,0,3,0,0,0,0,0,20,3363,373,282,62,46,58,62,53,35,116,4432,0,0,0,0,0,0,0,0,0,3,3,6134,472,336,72,52,58,63,57,38,174,7459,2536,32,13,0,0,0,0,3,3,59,2647,1826,57,52,13,8,9,8,4,4,29,2001,379,40,111,16,14,18,26,20,24,46,687,12,0,0,0,0,0,0,0,0,3,16,2222,96,160,26,25,26,39,25,23,73,2705,11,0,0,0,0,0,0,0,0,0,11,4761,125,169,26,30,28,39,24,26,136,5366,1332,25,10,0,0,0,0,0,0,46,1413,957,14,22,7,0,0,3,3,0,20,1034,358,34,41,7,7,8,8,3,3,14,478,6,0,0,0,0,0,0,0,0,3,5,1318,51,62,16,5,10,12,6,3,44,1518,9,0,0,0,0,0
CED202,0,0,0,0,5,12,531,27,3,9,6,3,9,6,3,5,11,82,0,0,0,0,0,0,0,0,0,0,0,462,50,46,8,3,6,10,5,12,21,620,4,0,0,0,0,0,0,0,0,0,4,2263,112,98,10,5,22,11,8,10,106,2651,2213,29,16,3,6,3,3,5,0,82,2356,400,10,5,4,3,3,0,0,3,19,441,47,0,14,0,0,7,0,0,4,4,81,4,0,0,0,0,0,0,0,0,0,7,451,7,13,4,3,14,5,0,7,23,529,17,0,0,0,0,0,0,0,0,6,21,2671,37,29,6,5,17,3,7,7,113,2908,1027,15,7,3,0,0,0,3,0,52,1106,302,3,4,0,0,0,0,3,0,6,316,60,3,0,0,0,0,0,0,0,6,73,3,0,0,0,0,0,0,0,0,0,3,364,3,3,0,0,0,0,3,0,12,393,5,0,0,0,0,0
CED203,16,4,6,10,15,76,3029,843,71,82,31,13,30,23,29,36,61,1213,21,0,0,0,0,0,0,0,0,4,26,3627,142,130,41,33,32,31,32,53,147,4272,3,0,0,0,0,0,0,0,0,7,7,5194,186,163,47,36,45,38,40,53,197,6005,1154,16,10,0,0,0,0,9,0,40,1234,3092,12,21,4,3,4,5,4,0,86,3230,1385,39,50,6,3,14,18,14,3,61,1587,52,0,0,0,0,0,0,0,0,7,59,4527,50,72,6,11,12,18,21,3,152,4883,6,0,0,0,0,0,0,0,0,7,16,5693,59,84,9,11,12,24,24,9,202,6130,475,3,6,0,0,0,0,0,3,41,523,2524,6,8,0,3,0,0,0,0,84,2624,2261,32,20,0,3,0,0,4,5,130,2458,40,0,0,0,0,0,0,0,0,16,53,4827,40,21,5,6,0,0,4,5,230,5138,9,0,0,0,0,0
CED204,0,4,4,5,4,12,306,12,5,14,3,7,11,5,12,3,12,89,3,0,0,0,0,0,0,0,0,0,3,251,34,28,5,7,17,10,18,6,23,397,3,0,0,0,0,0,0,0,0,29,34,1855,97,61,11,13,23,16,17,17,110,2215,1838,25,22,0,3,3,0,0,0,75,1967,244,3,3,0,0,0,0,0,3,9,270,20,0,5,0,0,3,4,3,3,5,48,4,0,0,0,0,0,0,0,0,0,3,266,3,10,3,0,3,4,3,4,21,319,4,0,0,0,0,0,0,0,0,13,15,2108,28,31,3,4,8,4,3,10,104,2305,820,12,3,0,0,0,0,0,0,57,891,141,3,0,0,0,0,0,0,0,19,162,21,0,4,0,0,3,0,0,0,0,41,8,0,0,0,0,0,0,0,0,0,5,175,3,4,0,0,3,0,0,0,20,215,4,0,0,0,0,0
CED205,29,34,15,24,15,111,5766,1531,230,278,76,83,88,86,75,79,169,2692,30,3,0,0,0,0,0,0,0,4,47,6491,615,458,114,119,128,100,97,96,280,8502,10,0,0,0,0,0,0,0,0,7,21,8575,746,517,117,123,131,103,106,96,336,10853,2352,36,14,6,3,3,4,0,0,44,2466,3648,84,56,19,15,16,8,15,11,76,3950,1301,135,142,39,47,44,53,45,44,100,1948,38,0,0,0,0,0,0,0,0,7,48,4984,221,208,55,65,56,62,59,51,185,5946,12,0,0,0,0,0,0,0,0,0,16,7352,251,220,68,68,62,68,59,51,231,8427,1382,14,5,0,3,0,3,0,0,50,1455,2042,44,40,8,3,8,0,3,0,49,2202,1334,92,79,19,11,22,14,7,6,55,1639,38,0,0,0,0,0,0,0,0,0,39,3411,133,122,24,19,27,13,14,9,107,3881,13,0,0,0,0,0
CED206,21,26,29,25,15,165,5851,1329,188,215,64,36,76,74,59,64,104,2205,53,0,0,0,0,0,0,3,0,6,68,6548,421,368,89,57,99,109,81,80,273,8125,11,3,0,0,0,0,0,0,0,11,27,8468,500,394,97,65,101,113,81,80,365,10265,1672,11,14,3,0,5,4,3,0,51,1767,3668,39,45,7,11,14,11,4,3,90,3893,1480,117,130,30,29,34,32,21,23,80,1972,49,3,3,0,0,0,0,0,0,5,56,5190,162,182,41,34,44,42,27,28,175,5930,5,0,0,0,0,0,0,0,0,12,13,6872,177,196,44,38,51,47,33,29,239,7715,620,4,4,3,0,0,0,0,0,29,660,1605,18,11,3,4,4,3,0,0,65,1713,1208,44,49,19,3,23,10,10,8,61,1443,38,0,0,0,0,0,0,0,0,0,37,2846,63,61,20,8,27,9,14,13,131,3189,9,0,0,0,0,0
CED207,0,0,4,5,0,17,784,51,10,30,12,5,11,10,17,3,25,180,10,0,0,0,0,0,0,0,0,0,13,749,52,58,15,3,14,16,20,3,42,980,3,0,0,0,0,0,0,0,0,3,5,3840,148,115,20,15,21,19,30,10,147,4356,3255,37,21,3,5,0,7,4,0,99,3430,745,18,12,0,3,0,5,0,3,23,797,75,9,19,7,7,9,8,6,4,8,147,3,0,0,0,0,0,0,0,0,3,5,821,26,25,7,14,9,8,10,11,33,955,7,0,0,0,0,0,0,0,0,3,17,4083,64,46,10,13,7,14,12,11,138,4399,1613,23,11,0,0,0,0,3,0,56,1704,586,5,3,0,0,0,0,0,0,12,614,102,0,7,0,0,3,0,3,0,10,133,6,0,0,0,0,0,0,0,0,0,6,694,6,10,0,0,5,3,3,0,28,752,6,0,0,0,0,0
CED208,22,18,28,17,9,83,3673,811,137,244,79,82,90,73,89,79,155,1829,16,0,3,0,0,3,0,0,0,3,23,3947,370,366,91,107,110,99,107,89,238,5525,8,0,0,0,0,0,0,0,0,4,15,5777,457,416,97,110,115,103,107,90,284,7552,1751,32,19,3,6,3,3,3,0,39,1850,2526,68,46,6,16,6,12,6,8,67,2763,943,106,139,25,30,35,33,48,31,91,1481,25,0,0,0,0,0,0,0,0,3,28,3499,173,187,33,48,44,42,56,34,160,4272,7,0,0,0,0,0,0,0,0,0,6,5257,200,199,37,52,45,45,60,34,198,6129,1075,9,10,0,3,0,0,3,0,31,1129,1759,21,24,9,3,0,0,3,0,49,1865,1216,86,86,18,11,10,7,15,10,56,1518,26,0,0,0,0,0,0,0,0,13,41,3011,105,107,24,11,15,7,18,14,118,3422,9,0,0,0,0,0
CED209,3,7,3,3,5,16,515,39,3,12,0,6,3,3,0,8,15,95,0,0,0,0,0,0,0,0,0,0,8,468,33,35,4,10,13,4,3,12,34,615,3,0,0,0,0,0,0,0,0,0,0,2486,113,94,12,20,15,16,8,14,113,2893,2398,25,31,11,11,7,0,3,0,64,2550,484,4,3,0,0,0,0,3,0,13,517,37,5,6,0,0,3,0,0,0,5,67,4,0,0,0,0,0,0,0,0,0,4,529,10,10,0,3,3,0,3,0,23,586,11,0,0,0,0,0,0,0,0,3,10,2935,35,45,12,7,11,3,6,3,90,3142,1158,11,9,0,0,3,0,0,0,42,1227,339,7,0,0,0,0,0,0,0,8,357,47,4,5,0,0,0,0,0,0,6,64,16,0,0,0,0,0,0,0,0,0,15,396,8,6,0,0,0,0,0,0,15,433,11,0,0,0,0,0
CED210,0,5,0,4,6,37,1153,157,35,27,5,7,16,12,15,9,10,304,9,0,0,0,0,0,0,0,0,3,10,1182,82,66,9,7,21,16,22,14,51,1466,9,0,0,0,0,0,0,0,0,17,23,3613,144,102,13,19,27,13,23,14,138,4110,2746,20,22,3,6,0,3,0,0,84,2890,1246,7,5,0,0,0,3,0,0,36,1294,367,12,15,0,4,8,5,7,4,5,428,23,0,0,0,0,0,0,0,0,4,31,1640,17,18,4,4,8,6,12,3,42,1747,10,0,0,0,0,0,0,0,0,10,17,4387,33,39,5,8,11,6,12,4,136,4650,1400,18,7,0,0,0,0,0,0,55,1485,965,4,0,0,0,3,0,0,0,54,1032,478,3,0,0,0,0,3,0,0,40,528,25,0,0,0,0,0,0,0,0,0,27,1468,8,5,0,0,3,3,3,0,96,1582,14,0,0,0,0,0
CED211,15,14,5,3,12,37,2105,463,121,159,48,58,64,82,65,51,110,1219,11,0,0,0,0,0,0,0,0,0,14,2226,279,245,60,75,77,84,76,65,149,3337,8,0,0,0,0,0,0,0,0,0,13,4334,380,296,71,89,85,91,77,61,189,5674,2393,19,19,3,0,0,8,0,3,37,2493,1397,35,32,11,12,13,4,4,3,37,1541,379,34,104,39,34,35,26,43,21,50,761,7,0,0,0,0,0,0,0,0,0,15,1781,72,138,43,45,46,36,47,26,83,2322,3,0,0,0,0,0,0,0,0,4,8,4183,89,161,48,44,46,45,54,23,124,4816,1409,11,15,0,0,0,3,0,3,36,1485,881,16,11,9,0,7,0,0,0,26,956,399,46,47,9,11,0,10,11,0,29,565,12,0,0,0,0,0,0,0,0,0,12,1287,64,58,17,9,9,12,12,3,60,1527,12,0,0,0,0,0
